Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
1,Sat,2010-08-14,,Blackburn,1–0,Everton,,,Phil Dowd,Match Report,
1,Sat,2010-08-14,,Chelsea,6–0,West Brom,,,Mark Clattenburg,Match Report,
1,Sat,2010-08-14,,Sunderland,2–2,Birmingham City,,,Anthony Taylor,Match Report,
1,Sat,2010-08-14,,Bolton,0–0,Fulham,,,Stuart Attwell,Match Report,
1,Sat,2010-08-14,,Tottenham,0–0,Manchester City,,,Andre Marriner,Match Report,
1,Sat,2010-08-14,,Wigan Athletic,0–4,Blackpool,,,Mark Halsey,Match Report,
1,Sat,2010-08-14,,Wolves,2–1,Stoke City,,,Lee Probert,Match Report,
1,Sat,2010-08-14,,Aston Villa,3–0,West Ham,,,Mike Dean,Match Report,
1,Sun,2010-08-15,,Liverpool,1–1,Arsenal,,,Martin Atkinson,Match Report,
1,Mon,2010-08-16,,Manchester Utd,3–0,Newcastle Utd,,,Chris Foy,Match Report,
,,,,,,,,,,,
2,Sat,2010-08-21,,West Ham,1–3,Bolton,,,Andre Marriner,Match Report,
2,Sat,2010-08-21,,Stoke City,1–2,Tottenham,,,Chris Foy,Match Report,
2,Sat,2010-08-21,,Arsenal,6–0,Blackpool,,,Mike Jones,Match Report,
2,Sat,2010-08-21,,Wigan Athletic,0–6,Chelsea,,,Mike Dean,Match Report,
2,Sat,2010-08-21,,West Brom,1–0,Sunderland,,,Kevin Friend,Match Report,
2,Sat,2010-08-21,,Birmingham City,2–1,Blackburn,,,Michael Oliver,Match Report,
2,Sat,2010-08-21,,Everton,1–1,Wolves,,,Lee Mason,Match Report,
2,Sun,2010-08-22,,Newcastle Utd,6–0,Aston Villa,,,Martin Atkinson,Match Report,
2,Sun,2010-08-22,,Fulham,2–2,Manchester Utd,,,Peter Walton,Match Report,
2,Mon,2010-08-23,,Manchester City,3–0,Liverpool,,,Phil Dowd,Match Report,
,,,,,,,,,,,
3,Sat,2010-08-28,,Wolves,1–1,Newcastle Utd,,,Stuart Attwell,Match Report,
3,Sat,2010-08-28,,Tottenham,0–1,Wigan Athletic,,,Phil Dowd,Match Report,
3,Sat,2010-08-28,,Blackpool,2–2,Fulham,,,Michael Oliver,Match Report,
3,Sat,2010-08-28,,Chelsea,2–0,Stoke City,,,Martin Atkinson,Match Report,
3,Sat,2010-08-28,,Blackburn,1–2,Arsenal,,,Chris Foy,Match Report,
3,Sat,2010-08-28,,Manchester Utd,3–0,West Ham,,,Mark Clattenburg,Match Report,
3,Sun,2010-08-29,,Bolton,2–2,Birmingham City,,,Kevin Friend,Match Report,
3,Sun,2010-08-29,,Liverpool,1–0,West Brom,,,Lee Probert,Match Report,
3,Sun,2010-08-29,,Aston Villa,1–0,Everton,,,Mike Jones,Match Report,
3,Sun,2010-08-29,,Sunderland,1–0,Manchester City,,,Mike Dean,Match Report,
,,,,,,,,,,,
4,Sat,2010-09-11,,Fulham,2–1,Wolves,,,Phil Dowd,Match Report,
4,Sat,2010-09-11,,Everton,3–3,Manchester Utd,,,Martin Atkinson,Match Report,
4,Sat,2010-09-11,,Manchester City,1–1,Blackburn,,,Mark Clattenburg,Match Report,
4,Sat,2010-09-11,,Wigan Athletic,1–1,Sunderland,,,Andre Marriner,Match Report,
4,Sat,2010-09-11,,Newcastle Utd,0–2,Blackpool,,,Lee Mason,Match Report,
4,Sat,2010-09-11,,West Ham,1–3,Chelsea,,,Chris Foy,Match Report,
4,Sat,2010-09-11,,Arsenal,4–1,Bolton,,,Stuart Attwell,Match Report,
4,Sat,2010-09-11,,West Brom,1–1,Tottenham,,,Howard Webb,Match Report,
4,Sun,2010-09-12,,Birmingham City,0–0,Liverpool,,,Mark Halsey,Match Report,
4,Mon,2010-09-13,,Stoke City,2–1,Aston Villa,,,Lee Probert,Match Report,
,,,,,,,,,,,
5,Sat,2010-09-18,,Stoke City,1–1,West Ham,,,Lee Mason,Match Report,
5,Sat,2010-09-18,,Sunderland,1–1,Arsenal,,,Phil Dowd,Match Report,
5,Sat,2010-09-18,,Aston Villa,1–1,Bolton,,,Mike Dean,Match Report,
5,Sat,2010-09-18,,Tottenham,3–1,Wolves,,,Mike Jones,Match Report,
5,Sat,2010-09-18,,Blackburn,1–1,Fulham,,,Anthony Taylor,Match Report,
5,Sat,2010-09-18,,West Brom,3–1,Birmingham City,,,Chris Foy,Match Report,
5,Sat,2010-09-18,,Everton,0–1,Newcastle Utd,,,Andre Marriner,Match Report,
5,Sun,2010-09-19,,Wigan Athletic,0–2,Manchester City,,,Lee Probert,Match Report,
5,Sun,2010-09-19,,Manchester Utd,3–2,Liverpool,,,Howard Webb,Match Report,
5,Sun,2010-09-19,,Chelsea,4–0,Blackpool,,,Mark Clattenburg,Match Report,
,,,,,,,,,,,
6,Sat,2010-09-25,,Birmingham City,0–0,Wigan Athletic,,,Mark Clattenburg,Match Report,
6,Sat,2010-09-25,,West Ham,1–0,Tottenham,,,Martin Atkinson,Match Report,
6,Sat,2010-09-25,,Manchester City,1–0,Chelsea,,,Andre Marriner,Match Report,
6,Sat,2010-09-25,,Liverpool,2–2,Sunderland,,,Stuart Attwell,Match Report,
6,Sat,2010-09-25,,Arsenal,2–3,West Brom,,,Michael Oliver,Match Report,
6,Sat,2010-09-25,,Blackpool,1–2,Blackburn,,,Mike Dean,Match Report,
6,Sat,2010-09-25,,Fulham,0–0,Everton,,,Howard Webb,Match Report,
6,Sun,2010-09-26,,Bolton,2–2,Manchester Utd,,,Phil Dowd,Match Report,
6,Sun,2010-09-26,,Newcastle Utd,1–2,Stoke City,,,Mike Jones,Match Report,
6,Sun,2010-09-26,,Wolves,1–2,Aston Villa,,,Mark Halsey,Match Report,
,,,,,,,,,,,
7,Sat,2010-10-02,,West Brom,1–1,Bolton,,,Peter Walton,Match Report,
7,Sat,2010-10-02,,West Ham,1–1,Fulham,,,Andre Marriner,Match Report,
7,Sat,2010-10-02,,Wigan Athletic,2–0,Wolves,,,Lee Mason,Match Report,
7,Sat,2010-10-02,,Stoke City,1–0,Blackburn,,,Howard Webb,Match Report,
7,Sat,2010-10-02,,Birmingham City,0–2,Everton,,,Phil Dowd,Match Report,
7,Sat,2010-10-02,,Tottenham,2–1,Aston Villa,,,Mark Clattenburg,Match Report,
7,Sat,2010-10-02,,Sunderland,0–0,Manchester Utd,,,Chris Foy,Match Report,
7,Sun,2010-10-03,,Manchester City,2–1,Newcastle Utd,,,Martin Atkinson,Match Report,
7,Sun,2010-10-03,,Liverpool,1–2,Blackpool,,,Mike Jones,Match Report,
7,Sun,2010-10-03,,Chelsea,2–0,Arsenal,,,Mike Dean,Match Report,
,,,,,,,,,,,
8,Sat,2010-10-16,,Fulham,1–2,Tottenham,,,Mike Dean,Match Report,
8,Sat,2010-10-16,,Manchester Utd,2–2,West Brom,,,Mike Jones,Match Report,
8,Sat,2010-10-16,,Wolves,1–1,West Ham,,,Mark Clattenburg,Match Report,
8,Sat,2010-10-16,,Aston Villa,0–0,Chelsea,,,Lee Mason,Match Report,
8,Sat,2010-10-16,,Arsenal,2–1,Birmingham City,,,Martin Atkinson,Match Report,
8,Sat,2010-10-16,,Bolton,2–1,Stoke City,,,Peter Walton,Match Report,
8,Sat,2010-10-16,,Newcastle Utd,2–2,Wigan Athletic,,,Mark Halsey,Match Report,
8,Sun,2010-10-17,,Everton,2–0,Liverpool,,,Howard Webb,Match Report,
8,Sun,2010-10-17,,Blackpool,2–3,Manchester City,,,Phil Dowd,Match Report,
8,Mon,2010-10-18,,Blackburn,0–0,Sunderland,,,Lee Probert,Match Report,
,,,,,,,,,,,
9,Sat,2010-10-23,,Wigan Athletic,1–1,Bolton,,,Howard Webb,Match Report,
9,Sat,2010-10-23,,Sunderland,1–0,Aston Villa,,,Mark Halsey,Match Report,
9,Sat,2010-10-23,,Birmingham City,2–0,Blackpool,,,Anthony Taylor,Match Report,
9,Sat,2010-10-23,,Chelsea,2–0,Wolves,,,Lee Probert,Match Report,
9,Sat,2010-10-23,,West Brom,2–1,Fulham,,,Kevin Friend,Match Report,
9,Sat,2010-10-23,,West Ham,1–2,Newcastle Utd,,,Chris Foy,Match Report,
9,Sat,2010-10-23,,Tottenham,1–1,Everton,,,Mike Jones,Match Report,
9,Sun,2010-10-24,,Stoke City,1–2,Manchester Utd,,,Andre Marriner,Match Report,
9,Sun,2010-10-24,,Manchester City,0–3,Arsenal,,,Mark Clattenburg,Match Report,
9,Sun,2010-10-24,,Liverpool,2–1,Blackburn,,,Phil Dowd,Match Report,
,,,,,,,,,,,
10,Sat,2010-10-30,,Arsenal,1–0,West Ham,,,Mike Jones,Match Report,
10,Sat,2010-10-30,,Manchester Utd,2–0,Tottenham,,,Mark Clattenburg,Match Report,
10,Sat,2010-10-30,,Wolves,2–1,Manchester City,,,Mike Dean,Match Report,
10,Sat,2010-10-30,,Blackburn,1–2,Chelsea,,,Peter Walton,Match Report,
10,Sat,2010-10-30,,Fulham,2–0,Wigan Athletic,,,Andre Marriner,Match Report,
10,Sat,2010-10-30,,Everton,1–0,Stoke City,,,Lee Probert,Match Report,
10,Sun,2010-10-31,,Bolton,0–1,Liverpool,,,Martin Atkinson,Match Report,
10,Sun,2010-10-31,,Aston Villa,0–0,Birmingham City,,,Howard Webb,Match Report,
10,Sun,2010-10-31,,Newcastle Utd,5–1,Sunderland,,,Phil Dowd,Match Report,
10,Mon,2010-11-01,,Blackpool,2–1,West Brom,,,Michael Oliver,Match Report,
,,,,,,,,,,,
11,Sat,2010-11-06,,Fulham,1–1,Aston Villa,,,Peter Walton,Match Report,
11,Sat,2010-11-06,,Birmingham City,2–2,West Ham,,,Michael Oliver,Match Report,
11,Sat,2010-11-06,,Blackburn,2–1,Wigan Athletic,,,Kevin Friend,Match Report,
11,Sat,2010-11-06,,Blackpool,2–2,Everton,,,Andre Marriner,Match Report,
11,Sat,2010-11-06,,Manchester Utd,2–1,Wolves,,,Phil Dowd,Match Report,
11,Sat,2010-11-06,,Sunderland,2–0,Stoke City,,,Martin Atkinson,Match Report,
11,Sat,2010-11-06,,Bolton,4–2,Tottenham,,,Chris Foy,Match Report,
11,Sun,2010-11-07,,West Brom,0–2,Manchester City,,,Lee Probert,Match Report,
11,Sun,2010-11-07,,Arsenal,0–1,Newcastle Utd,,,Mike Dean,Match Report,
11,Sun,2010-11-07,,Liverpool,2–0,Chelsea,,,Howard Webb,Match Report,
,,,,,,,,,,,
12,Tue,2010-11-09,,Tottenham,1–1,Sunderland,,,Howard Webb,Match Report,
12,Tue,2010-11-09,,Stoke City,3–2,Birmingham City,,,Mark Clattenburg,Match Report,
12,Wed,2010-11-10,,Aston Villa,3–2,Blackpool,,,Anthony Taylor,Match Report,
12,Wed,2010-11-10,,Everton,1–1,Bolton,,,Phil Dowd,Match Report,
12,Wed,2010-11-10,,Wolves,0–2,Arsenal,,,Mark Halsey,Match Report,
12,Wed,2010-11-10,,West Ham,2–2,West Brom,,,Mike Dean,Match Report,
12,Wed,2010-11-10,,Chelsea,1–0,Fulham,,,Martin Atkinson,Match Report,
12,Wed,2010-11-10,,Newcastle Utd,1–2,Blackburn,,,Mike Jones,Match Report,
12,Wed,2010-11-10,,Manchester City,0–0,Manchester Utd,,,Chris Foy,Match Report,
12,Wed,2010-11-10,,Wigan Athletic,1–1,Liverpool,,,Peter Walton,Match Report,
,,,,,,,,,,,
13,Sat,2010-11-13,,Newcastle Utd,0–0,Fulham,,,Lee Probert,Match Report,
13,Sat,2010-11-13,,West Ham,0–0,Blackpool,,,Kevin Friend,Match Report,
13,Sat,2010-11-13,,Tottenham,4–2,Blackburn,,,Andre Marriner,Match Report,
13,Sat,2010-11-13,,Aston Villa,2–2,Manchester Utd,,,Mike Dean,Match Report,
13,Sat,2010-11-13,,Wigan Athletic,1–0,West Brom,,,Anthony Taylor,Match Report,
13,Sat,2010-11-13,,Wolves,2–3,Bolton,,,Peter Walton,Match Report,
13,Sat,2010-11-13,,Stoke City,2–0,Liverpool,,,Mark Halsey,Match Report,
13,Sat,2010-11-13,,Manchester City,0–0,Birmingham City,,,Mike Jones,Match Report,
13,Sun,2010-11-14,,Everton,1–2,Arsenal,,,Howard Webb,Match Report,
13,Sun,2010-11-14,,Chelsea,0–3,Sunderland,,,Chris Foy,Match Report,
,,,,,,,,,,,
14,Sat,2010-11-20,,Blackpool,2–1,Wolves,,,Mark Clattenburg,Match Report,
14,Sat,2010-11-20,,Birmingham City,1–0,Chelsea,,,Mark Halsey,Match Report,
14,Sat,2010-11-20,,Liverpool,3–0,West Ham,,,Lee Probert,Match Report,
14,Sat,2010-11-20,,Bolton,5–1,Newcastle Utd,,,Howard Webb,Match Report,
14,Sat,2010-11-20,,Arsenal,2–3,Tottenham,,,Phil Dowd,Match Report,
14,Sat,2010-11-20,,West Brom,0–3,Stoke City,,,Chris Foy,Match Report,
14,Sat,2010-11-20,,Manchester Utd,2–0,Wigan Athletic,,,Martin Atkinson,Match Report,
14,Sun,2010-11-21,,Fulham,1–4,Manchester City,,,Lee Mason,Match Report,
14,Sun,2010-11-21,,Blackburn,2–0,Aston Villa,,,Michael Oliver,Match Report,
14,Mon,2010-11-22,,Sunderland,2–2,Everton,,,Peter Walton,Match Report,
,,,,,,,,,,,
15,Sat,2010-11-27,,Stoke City,1–1,Manchester City,,,Peter Walton,Match Report,
15,Sat,2010-11-27,,Aston Villa,2–4,Arsenal,,,Mark Clattenburg,Match Report,
15,Sat,2010-11-27,,Everton,1–4,West Brom,,,Lee Mason,Match Report,
15,Sat,2010-11-27,,Fulham,1–1,Birmingham City,,,Howard Webb,Match Report,
15,Sat,2010-11-27,,Bolton,2–2,Blackpool,,,Mike Dean,Match Report,
15,Sat,2010-11-27,,Wolves,3–2,Sunderland,,,Mike Jones,Match Report,
15,Sat,2010-11-27,,West Ham,3–1,Wigan Athletic,,,Mark Halsey,Match Report,
15,Sat,2010-11-27,,Manchester Utd,7–1,Blackburn,,,Lee Probert,Match Report,
15,Sun,2010-11-28,,Newcastle Utd,1–1,Chelsea,,,Andre Marriner,Match Report,
