Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
1,Sat,2015-08-08,12:45 (13:45),Manchester Utd,1–0,Tottenham,75261,Old Trafford,Jonathan Moss,Match Report,
1,Sat,2015-08-08,15:00 (16:00),Norwich City,1–3,Crystal Palace,27036,Carrow Road,Simon Hooper,Match Report,
1,Sat,2015-08-08,15:00 (16:00),Leicester City,4–2,Sunderland,32242,King Power Stadium,Lee Mason,Match Report,
1,Sat,2015-08-08,15:00 (16:00),Bournemouth,0–1,Aston Villa,11155,Vitality Stadium,Mark Clattenburg,Match Report,
1,Sat,2015-08-08,15:00 (16:00),Everton,2–2,Watford,39063,Goodison Park,Mike Jones,Match Report,
1,Sat,2015-08-08,17:30 (18:30),Chelsea,2–2,Swansea City,41232,Stamford Bridge,Michael Oliver,Match Report,
1,Sun,2015-08-09,13:30 (14:30),Arsenal,0–2,West Ham,59996,Emirates Stadium,Martin Atkinson,Match Report,
1,Sun,2015-08-09,13:30 (14:30),Newcastle Utd,2–2,Southampton,49019,St. James' Park,Craig Pawson,Match Report,
1,Sun,2015-08-09,16:00 (17:00),Stoke City,0–1,Liverpool,27654,Bet365 Stadium,Anthony Taylor,Match Report,
1,Mon,2015-08-10,20:00 (21:00),West Brom,0–3,Manchester City,24564,The Hawthorns,Mike Dean,Match Report,
,,,,,,,,,,,
2,Fri,2015-08-14,19:45 (20:45),Aston Villa,0–1,Manchester Utd,42200,Villa Park,Mike Dean,Match Report,
2,Sat,2015-08-15,12:45 (13:45),Southampton,0–3,Everton,30966,St. Mary's Stadium,Michael Oliver,Match Report,
2,Sat,2015-08-15,15:00 (16:00),Swansea City,2–0,Newcastle Utd,20678,Liberty Stadium,Mike Jones,Match Report,
2,Sat,2015-08-15,15:00 (16:00),Sunderland,1–3,Norwich City,41379,Stadium of Light,Kevin Friend,Match Report,
2,Sat,2015-08-15,15:00 (16:00),Tottenham,2–2,Stoke City,36004,White Hart Lane,Robert Madley,Match Report,
2,Sat,2015-08-15,15:00 (16:00),Watford,0–0,West Brom,20011,Vicarage Road Stadium,Paul Tierney,Match Report,
2,Sat,2015-08-15,15:00 (16:00),West Ham,1–2,Leicester City,34857,Boleyn Ground,Anthony Taylor,Match Report,
2,Sun,2015-08-16,13:30 (14:30),Crystal Palace,1–2,Arsenal,24732,Selhurst Park,Lee Mason,Match Report,
2,Sun,2015-08-16,16:00 (17:00),Manchester City,3–0,Chelsea,54331,Etihad Stadium,Martin Atkinson,Match Report,
2,Mon,2015-08-17,20:00 (21:00),Liverpool,1–0,Bournemouth,44102,Anfield,Craig Pawson,Match Report,
,,,,,,,,,,,
3,Sat,2015-08-22,12:45 (13:45),Manchester Utd,0–0,Newcastle Utd,75354,Old Trafford,Craig Pawson,Match Report,
3,Sat,2015-08-22,15:00 (16:00),Leicester City,1–1,Tottenham,31971,King Power Stadium,Martin Atkinson,Match Report,
3,Sat,2015-08-22,15:00 (16:00),Sunderland,1–1,Swansea City,39198,Stadium of Light,Niel Swarbrick,Match Report,
3,Sat,2015-08-22,15:00 (16:00),Crystal Palace,2–1,Aston Villa,25295,Selhurst Park,Keith Stroud,Match Report,
