Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
3,Sat,2015-08-22,15:00 (16:00),Norwich City,1–1,Stoke City,26771,Carrow Road,Mike Dean,Match Report,
3,Sat,2015-08-22,15:00 (16:00),West Ham,3–4,Bournemouth,34977,Boleyn Ground,Jonathan Moss,Match Report,
3,Sun,2015-08-23,13:30 (14:30),West Brom,2–3,Chelsea,23256,The Hawthorns,Mark Clattenburg,Match Report,
3,Sun,2015-08-23,16:00 (17:00),Watford,0–0,Southampton,20166,Vicarage Road Stadium,Andre Marriner,Match Report,
3,Sun,2015-08-23,16:00 (17:00),Everton,0–2,Manchester City,38523,Goodison Park,Anthony Taylor,Match Report,
3,Mon,2015-08-24,20:00 (21:00),Arsenal,0–0,Liverpool,60080,Emirates Stadium,Michael Oliver,Match Report,
,,,,,,,,,,,
4,Sat,2015-08-29,12:45 (13:45),Newcastle Utd,0–1,Arsenal,50388,St. James' Park,Andre Marriner,Match Report,
4,Sat,2015-08-29,15:00 (16:00),Bournemouth,1–1,Leicester City,11155,Vitality Stadium,Niel Swarbrick,Match Report,
4,Sat,2015-08-29,15:00 (16:00),Manchester City,2–0,Watford,53218,Etihad Stadium,Mark Clattenburg,Match Report,
4,Sat,2015-08-29,15:00 (16:00),Chelsea,1–2,Crystal Palace,41581,Stamford Bridge,Craig Pawson,Match Report,
4,Sat,2015-08-29,15:00 (16:00),Aston Villa,2–2,Sunderland,35399,Villa Park,Robert Madley,Match Report,
4,Sat,2015-08-29,15:00 (16:00),Liverpool,0–3,West Ham,43680,Anfield,Kevin Friend,Match Report,
4,Sat,2015-08-29,15:00 (16:00),Stoke City,0–1,West Brom,26747,Bet365 Stadium,Michael Oliver,Match Report,
4,Sat,2015-08-29,17:30 (18:30),Tottenham,0–0,Everton,35865,White Hart Lane,Mike Jones,Match Report,
4,Sun,2015-08-30,13:30 (14:30),Southampton,3–0,Norwich City,29573,St. Mary's Stadium,Jonathan Moss,Match Report,
4,Sun,2015-08-30,16:00 (17:00),Swansea City,2–1,Manchester Utd,20828,Liberty Stadium,Martin Atkinson,Match Report,
,,,,,,,,,,,
5,Sat,2015-09-12,12:45 (13:45),Everton,3–1,Chelsea,38311,Goodison Park,Andre Marriner,Match Report,
5,Sat,2015-09-12,15:00 (16:00),West Brom,0–0,Southampton,24265,The Hawthorns,Stuart Attwell,Match Report,
5,Sat,2015-09-12,15:00 (16:00),Arsenal,2–0,Stoke City,59963,Emirates Stadium,Jonathan Moss,Match Report,
5,Sat,2015-09-12,15:00 (16:00),Crystal Palace,0–1,Manchester City,25167,Selhurst Park,Mike Jones,Match Report,
5,Sat,2015-09-12,15:00 (16:00),Norwich City,3–1,Bournemouth,27018,Carrow Road,Martin Atkinson,Match Report,
5,Sat,2015-09-12,15:00 (16:00),Watford,1–0,Swansea City,20057,Vicarage Road Stadium,Robert Madley,Match Report,
5,Sat,2015-09-12,17:30 (18:30),Manchester Utd,3–1,Liverpool,75347,Old Trafford,Michael Oliver,Match Report,
5,Sun,2015-09-13,13:30 (14:30),Sunderland,0–1,Tottenham,40303,Stadium of Light,Craig Pawson,Match Report,
5,Sun,2015-09-13,16:00 (17:00),Leicester City,3–2,Aston Villa,31733,King Power Stadium,Mike Dean,Match Report,
5,Mon,2015-09-14,20:00 (21:00),West Ham,2–0,Newcastle Utd,34907,Boleyn Ground,Anthony Taylor,Match Report,
,,,,,,,,,,,
6,Sat,2015-09-19,12:45 (13:45),Chelsea,2–0,Arsenal,41584,Stamford Bridge,Mike Dean,Match Report,
6,Sat,2015-09-19,15:00 (16:00),Newcastle Utd,1–2,Watford,47806,St. James' Park,Roger East,Match Report,
6,Sat,2015-09-19,15:00 (16:00),Stoke City,2–2,Leicester City,27642,Bet365 Stadium,Andre Marriner,Match Report,
6,Sat,2015-09-19,15:00 (16:00),Bournemouth,2–0,Sunderland,11271,Vitality Stadium,Kevin Friend,Match Report,
6,Sat,2015-09-19,15:00 (16:00),Aston Villa,0–1,West Brom,36321,Villa Park,Martin Atkinson,Match Report,
6,Sat,2015-09-19,15:00 (16:00),Swansea City,0–0,Everton,20805,Liberty Stadium,Stuart Attwell,Match Report,
6,Sat,2015-09-19,17:30 (18:30),Manchester City,1–2,West Ham,53545,Etihad Stadium,Robert Madley,Match Report,
6,Sun,2015-09-20,13:30 (14:30),Tottenham,1–0,Crystal Palace,35723,White Hart Lane,Michael Oliver,Match Report,
6,Sun,2015-09-20,16:00 (17:00),Southampton,2–3,Manchester Utd,31588,St. Mary's Stadium,Mark Clattenburg,Match Report,
6,Sun,2015-09-20,16:00 (17:00),Liverpool,1–1,Norwich City,44072,Anfield,Anthony Taylor,Match Report,
,,,,,,,,,,,
7,Sat,2015-09-26,12:45 (13:45),Tottenham,4–1,Manchester City,35867,White Hart Lane,Mark Clattenburg,Match Report,
7,Sat,2015-09-26,15:00 (16:00),Liverpool,3–2,Aston Villa,44228,Anfield,Jonathan Moss,Match Report,
7,Sat,2015-09-26,15:00 (16:00),Leicester City,2–5,Arsenal,32047,King Power Stadium,Craig Pawson,Match Report,
7,Sat,2015-09-26,15:00 (16:00),Manchester Utd,3–0,Sunderland,75328,Old Trafford,Mike Jones,Match Report,
7,Sat,2015-09-26,15:00 (16:00),Southampton,3–1,Swansea City,30704,St. Mary's Stadium,Roger East,Match Report,
7,Sat,2015-09-26,15:00 (16:00),Stoke City,2–1,Bournemouth,27742,Bet365 Stadium,Lee Mason,Match Report,
7,Sat,2015-09-26,15:00 (16:00),West Ham,2–2,Norwich City,34857,Boleyn Ground,Mike Dean,Match Report,
7,Sat,2015-09-26,17:30 (18:30),Newcastle Utd,2–2,Chelsea,48682,St. James' Park,Martin Atkinson,Match Report,
7,Sun,2015-09-27,16:00 (17:00),Watford,0–1,Crystal Palace,20168,Vicarage Road Stadium,Anthony Taylor,Match Report,
7,Mon,2015-09-28,20:00 (21:00),West Brom,2–3,Everton,24240,The Hawthorns,Robert Madley,Match Report,
,,,,,,,,,,,
8,Sat,2015-10-03,12:45 (13:45),Crystal Palace,2–0,West Brom,24033,Selhurst Park,Jonathan Moss,Match Report,
8,Sat,2015-10-03,15:00 (16:00),Sunderland,2–2,West Ham,42932,Stadium of Light,Niel Swarbrick,Match Report,
8,Sat,2015-10-03,15:00 (16:00),Norwich City,1–2,Leicester City,27067,Carrow Road,Mark Clattenburg,Match Report,
8,Sat,2015-10-03,15:00 (16:00),Bournemouth,1–1,Watford,11187,Vitality Stadium,Michael Oliver,Match Report,
8,Sat,2015-10-03,15:00 (16:00),Aston Villa,0–1,Stoke City,33189,Villa Park,Mike Jones,Match Report,
8,Sat,2015-10-03,15:00 (16:00),Manchester City,6–1,Newcastle Utd,53850,Etihad Stadium,Kevin Friend,Match Report,
8,Sat,2015-10-03,17:30 (18:30),Chelsea,1–3,Southampton,41642,Stamford Bridge,Robert Madley,Match Report,
8,Sun,2015-10-04,13:30 (14:30),Everton,1–1,Liverpool,39598,Goodison Park,Martin Atkinson,Match Report,
8,Sun,2015-10-04,16:00 (17:00),Arsenal,3–0,Manchester Utd,60084,Emirates Stadium,Anthony Taylor,Match Report,
8,Sun,2015-10-04,16:00 (17:00),Swansea City,2–2,Tottenham,20845,Liberty Stadium,Mike Dean,Match Report,
,,,,,,,,,,,
9,Sat,2015-10-17,12:45 (13:45),Tottenham,0–0,Liverpool,35926,White Hart Lane,Craig Pawson,Match Report,
9,Sat,2015-10-17,15:00 (16:00),Southampton,2–2,Leicester City,30966,St. Mary's Stadium,Paul Tierney,Match Report,
9,Sat,2015-10-17,15:00 (16:00),Crystal Palace,1–3,West Ham,24812,Selhurst Park,Mark Clattenburg,Match Report,
9,Sat,2015-10-17,15:00 (16:00),West Brom,1–0,Sunderland,24225,The Hawthorns,Martin Atkinson,Match Report,
9,Sat,2015-10-17,15:00 (16:00),Everton,0–3,Manchester Utd,39553,Goodison Park,Jonathan Moss,Match Report,
9,Sat,2015-10-17,15:00 (16:00),Manchester City,5–1,Bournemouth,54502,Etihad Stadium,Mike Dean,Match Report,
9,Sat,2015-10-17,15:00 (16:00),Chelsea,2–0,Aston Villa,41596,Stamford Bridge,Roger East,Match Report,
9,Sat,2015-10-17,17:30 (18:30),Watford,0–3,Arsenal,20721,Vicarage Road Stadium,Mike Jones,Match Report,
9,Sun,2015-10-18,16:00 (17:00),Newcastle Utd,6–2,Norwich City,47006,St. James' Park,Anthony Taylor,Match Report,
9,Mon,2015-10-19,20:00 (21:00),Swansea City,0–1,Stoke City,20044,Liberty Stadium,Robert Madley,Match Report,
,,,,,,,,,,,
10,Sat,2015-10-24,15:00 (16:00),Leicester City,1–0,Crystal Palace,31752,King Power Stadium,Mike Dean,Match Report,
10,Sat,2015-10-24,15:00 (16:00),West Ham,2–1,Chelsea,34977,Boleyn Ground,Jonathan Moss,Match Report,
10,Sat,2015-10-24,15:00 (16:00),Norwich City,0–1,West Brom,26983,Carrow Road,Kevin Friend,Match Report,
10,Sat,2015-10-24,15:00 (16:00),Aston Villa,1–2,Swansea City,33324,Villa Park,Niel Swarbrick,Match Report,
10,Sat,2015-10-24,15:00 (16:00),Stoke City,0–2,Watford,27587,Bet365 Stadium,Martin Atkinson,Match Report,
10,Sat,2015-10-24,17:30 (18:30),Arsenal,2–1,Everton,59985,Emirates Stadium,Lee Mason,Match Report,
10,Sun,2015-10-25,12:00 (13:00),Sunderland,3–0,Newcastle Utd,47653,Stadium of Light,Robert Madley,Match Report,
10,Sun,2015-10-25,14:05 (15:05),Manchester Utd,0–0,Manchester City,75329,Old Trafford,Mark Clattenburg,Match Report,
10,Sun,2015-10-25,14:05 (15:05),Bournemouth,1–5,Tottenham,11332,Vitality Stadium,Roger East,Match Report,
10,Sun,2015-10-25,16:15 (17:15),Liverpool,1–1,Southampton,44171,Anfield,Andre Marriner,Match Report,
,,,,,,,,,,,
11,Sat,2015-10-31,12:45 (13:45),Chelsea,1–3,Liverpool,41577,Stamford Bridge,Mark Clattenburg,Match Report,
11,Sat,2015-10-31,15:00 (16:00),Crystal Palace,0–0,Manchester Utd,24854,Selhurst Park,Mike Jones,Match Report,
11,Sat,2015-10-31,15:00 (16:00),Swansea City,0–3,Arsenal,20937,Liberty Stadium,Kevin Friend,Match Report,
11,Sat,2015-10-31,15:00 (16:00),West Brom,2–3,Leicester City,24150,The Hawthorns,Anthony Taylor,Match Report,
11,Sat,2015-10-31,15:00 (16:00),Newcastle Utd,0–0,Stoke City,47139,St. James' Park,Roger East,Match Report,
11,Sat,2015-10-31,15:00 (16:00),Watford,2–0,West Ham,20598,Vicarage Road Stadium,Keith Stroud,Match Report,
11,Sat,2015-10-31,15:00 (16:00),Manchester City,2–1,Norwich City,53418,Etihad Stadium,Robert Madley,Match Report,
11,Sun,2015-11-01,13:30 (14:30),Everton,6–2,Sunderland,36617,Goodison Park,Andre Marriner,Match Report,
11,Sun,2015-11-01,16:00 (17:00),Southampton,2–0,Bournemouth,31229,St. Mary's Stadium,Craig Pawson,Match Report,
11,Mon,2015-11-02,20:00 (21:00),Tottenham,3–1,Aston Villa,34882,White Hart Lane,Mike Dean,Match Report,
,,,,,,,,,,,
12,Sat,2015-11-07,12:45 (13:45),Bournemouth,0–1,Newcastle Utd,11155,Vitality Stadium,Lee Mason,Match Report,
12,Sat,2015-11-07,15:00 (16:00),West Ham,1–1,Everton,34977,Boleyn Ground,Paul Tierney,Match Report,
12,Sat,2015-11-07,15:00 (16:00),Leicester City,2–1,Watford,32029,King Power Stadium,Roger East,Match Report,
12,Sat,2015-11-07,15:00 (16:00),Manchester Utd,2–0,West Brom,75410,Old Trafford,Mike Dean,Match Report,
12,Sat,2015-11-07,15:00 (16:00),Sunderland,0–1,Southampton,41781,Stadium of Light,Mike Jones,Match Report,
12,Sat,2015-11-07,15:00 (16:00),Norwich City,1–0,Swansea City,27029,Carrow Road,Mark Clattenburg,Match Report,
12,Sat,2015-11-07,17:30 (18:30),Stoke City,1–0,Chelsea,27550,Bet365 Stadium,Anthony Taylor,Match Report,
12,Sun,2015-11-08,13:30 (14:30),Aston Villa,0–0,Manchester City,36757,Villa Park,Craig Pawson,Match Report,
12,Sun,2015-11-08,16:00 (17:00),Liverpool,1–2,Crystal Palace,44115,Anfield,Niel Swarbrick,Match Report,
12,Sun,2015-11-08,16:00 (17:00),Arsenal,1–1,Tottenham,60060,Emirates Stadium,Martin Atkinson,Match Report,
,,,,,,,,,,,
13,Sat,2015-11-21,12:45 (13:45),Watford,1–2,Manchester Utd,20702,Vicarage Road Stadium,Robert Madley,Match Report,
13,Sat,2015-11-21,15:00 (16:00),Swansea City,2–2,Bournemouth,20878,Liberty Stadium,Andre Marriner,Match Report,
13,Sat,2015-11-21,15:00 (16:00),Chelsea,1–0,Norwich City,41582,Stamford Bridge,Craig Pawson,Match Report,
13,Sat,2015-11-21,15:00 (16:00),West Brom,2–1,Arsenal,24343,The Hawthorns,Mark Clattenburg,Match Report,
13,Sat,2015-11-21,15:00 (16:00),Everton,4–0,Aston Villa,38424,Goodison Park,Michael Oliver,Match Report,
13,Sat,2015-11-21,15:00 (16:00),Newcastle Utd,0–3,Leicester City,50151,St. James' Park,Mike Jones,Match Report,
13,Sat,2015-11-21,15:00 (16:00),Southampton,0–1,Stoke City,30039,St. Mary's Stadium,Lee Mason,Match Report,
13,Sat,2015-11-21,17:30 (18:30),Manchester City,1–4,Liverpool,54444,Etihad Stadium,Jonathan Moss,Match Report,
13,Sun,2015-11-22,16:00 (17:00),Tottenham,4–1,West Ham,35968,White Hart Lane,Anthony Taylor,Match Report,
13,Mon,2015-11-23,20:00 (21:00),Crystal Palace,0–1,Sunderland,24361,Selhurst Park,Martin Atkinson,Match Report,
,,,,,,,,,,,
14,Sat,2015-11-28,15:00 (16:00),Aston Villa,2–3,Watford,35057,Villa Park,Lee Mason,Match Report,
14,Sat,2015-11-28,15:00 (16:00),Bournemouth,3–3,Everton,11228,Vitality Stadium,Kevin Friend,Match Report,
14,Sat,2015-11-28,15:00 (16:00),Crystal Palace,5–1,Newcastle Utd,24833,Selhurst Park,Stuart Attwell,Match Report,
14,Sat,2015-11-28,15:00 (16:00),Sunderland,2–0,Stoke City,41516,Stadium of Light,Mike Dean,Match Report,
14,Sat,2015-11-28,15:00 (16:00),Manchester City,3–1,Southampton,54102,Etihad Stadium,Roger East,Match Report,
14,Sat,2015-11-28,17:30 (18:30),Leicester City,1–1,Manchester Utd,32115,King Power Stadium,Craig Pawson,Match Report,
14,Sun,2015-11-29,12:00 (13:00),Tottenham,0–0,Chelsea,35639,White Hart Lane,Michael Oliver,Match Report,
14,Sun,2015-11-29,14:05 (15:05),West Ham,1–1,West Brom,34914,Boleyn Ground,Martin Atkinson,Match Report,
14,Sun,2015-11-29,16:15 (17:15),Norwich City,1–1,Arsenal,27091,Carrow Road,Jonathan Moss,Match Report,
14,Sun,2015-11-29,16:15 (17:15),Liverpool,1–0,Swansea City,43905,Anfield,Anthony Taylor,Match Report,
,,,,,,,,,,,
15,Sat,2015-12-05,12:45 (13:45),Stoke City,2–0,Manchester City,27264,Bet365 Stadium,Martin Atkinson,Match Report,
15,Sat,2015-12-05,15:00 (16:00),Manchester Utd,0–0,West Ham,75350,Old Trafford,Mark Clattenburg,Match Report,
15,Sat,2015-12-05,15:00 (16:00),Watford,2–0,Norwich City,20422,Vicarage Road Stadium,Mike Dean,Match Report,
15,Sat,2015-12-05,15:00 (16:00),Southampton,1–1,Aston Villa,29645,St. Mary's Stadium,Anthony Taylor,Match Report,
15,Sat,2015-12-05,15:00 (16:00),Arsenal,3–1,Sunderland,59937,Emirates Stadium,Robert Madley,Match Report,
15,Sat,2015-12-05,15:00 (16:00),Swansea City,0–3,Leicester City,20836,Liberty Stadium,Michael Oliver,Match Report,
15,Sat,2015-12-05,15:00 (16:00),West Brom,1–1,Tottenham,23602,The Hawthorns,Jonathan Moss,Match Report,
15,Sat,2015-12-05,17:30 (18:30),Chelsea,0–1,Bournemouth,41631,Stamford Bridge,Mike Jones,Match Report,
15,Sun,2015-12-06,16:00 (17:00),Newcastle Utd,2–0,Liverpool,51273,St. James' Park,Andre Marriner,Match Report,
15,Mon,2015-12-07,20:00 (21:00),Everton,1–1,Crystal Palace,35736,Goodison Park,Craig Pawson,Match Report,
,,,,,,,,,,,
16,Sat,2015-12-12,12:45 (13:45),Norwich City,1–1,Everton,27027,Carrow Road,Martin Atkinson,Match Report,
16,Sat,2015-12-12,15:00 (16:00),Crystal Palace,1–0,Southampton,24914,Selhurst Park,Mike Dean,Match Report,
16,Sat,2015-12-12,15:00 (16:00),Sunderland,0–1,Watford,43989,Stadium of Light,Graham Scott,Match Report,
16,Sat,2015-12-12,15:00 (16:00),Manchester City,2–1,Swansea City,53052,Etihad Stadium,Robert Madley,Match Report,
16,Sat,2015-12-12,15:00 (16:00),West Ham,0–0,Stoke City,34857,Boleyn Ground,Andre Marriner,Match Report,
16,Sat,2015-12-12,17:30 (18:30),Bournemouth,2–1,Manchester Utd,11334,Vitality Stadium,Anthony Taylor,Match Report,
16,Sun,2015-12-13,13:30 (14:30),Aston Villa,0–2,Arsenal,33285,Villa Park,Kevin Friend,Match Report,
16,Sun,2015-12-13,16:00 (17:00),Tottenham,1–2,Newcastle Utd,35768,White Hart Lane,Roger East,Match Report,
16,Sun,2015-12-13,16:00 (17:00),Liverpool,2–2,West Brom,44147,Anfield,Craig Pawson,Match Report,
16,Mon,2015-12-14,20:00 (21:00),Leicester City,2–1,Chelsea,32054,King Power Stadium,Mark Clattenburg,Match Report,
,,,,,,,,,,,
17,Sat,2015-12-19,15:00 (16:00),West Brom,1–2,Bournemouth,26127,The Hawthorns,Mike Dean,Match Report,
17,Sat,2015-12-19,15:00 (16:00),Southampton,0–2,Tottenham,31636,St. Mary's Stadium,Kevin Friend,Match Report,
17,Sat,2015-12-19,15:00 (16:00),Everton,2–3,Leicester City,39570,Goodison Park,Jonathan Moss,Match Report,
17,Sat,2015-12-19,15:00 (16:00),Stoke City,1–2,Crystal Palace,27500,Bet365 Stadium,Robert Madley,Match Report,
17,Sat,2015-12-19,15:00 (16:00),Manchester Utd,1–2,Norwich City,75320,Old Trafford,Michael Oliver,Match Report,
17,Sat,2015-12-19,15:00 (16:00),Chelsea,3–1,Sunderland,41562,Stamford Bridge,Roger East,Match Report,
17,Sat,2015-12-19,17:30 (18:30),Newcastle Utd,1–1,Aston Villa,48234,St. James' Park,Martin Atkinson,Match Report,
17,Sun,2015-12-20,13:30 (14:30),Watford,3–0,Liverpool,20707,Vicarage Road Stadium,Mark Clattenburg,Match Report,
17,Sun,2015-12-20,16:00 (17:00),Swansea City,0–0,West Ham,20661,Liberty Stadium,Lee Mason,Match Report,
17,Mon,2015-12-21,20:00 (21:00),Arsenal,2–1,Manchester City,60053,Emirates Stadium,Andre Marriner,Match Report,
,,,,,,,,,,,
18,Sat,2015-12-26,12:45 (13:45),Stoke City,2–0,Manchester Utd,27426,Bet365 Stadium,Kevin Friend,Match Report,
18,Sat,2015-12-26,15:00 (16:00),Manchester City,4–1,Sunderland,54523,Etihad Stadium,Anthony Taylor,Match Report,
18,Sat,2015-12-26,15:00 (16:00),Liverpool,1–0,Leicester City,44123,Anfield,Martin Atkinson,Match Report,
18,Sat,2015-12-26,15:00 (16:00),Aston Villa,1–1,West Ham,38193,Villa Park,Mike Dean,Match Report,
18,Sat,2015-12-26,15:00 (16:00),Swansea City,1–0,West Brom,20789,Liberty Stadium,Roger East,Match Report,
18,Sat,2015-12-26,15:00 (16:00),Bournemouth,0–0,Crystal Palace,11218,Vitality Stadium,Michael Oliver,Match Report,
18,Sat,2015-12-26,15:00 (16:00),Chelsea,2–2,Watford,41620,Stamford Bridge,Andre Marriner,Match Report,
18,Sat,2015-12-26,15:00 (16:00),Tottenham,3–0,Norwich City,35198,White Hart Lane,Mike Jones,Match Report,
18,Sat,2015-12-26,17:30 (18:30),Newcastle Utd,0–1,Everton,51682,St. James' Park,Lee Mason,Match Report,
18,Sat,2015-12-26,19:45 (20:45),Southampton,4–0,Arsenal,31669,St. Mary's Stadium,Jonathan Moss,Match Report,
,,,,,,,,,,,
19,Mon,2015-12-28,15:00 (16:00),Watford,1–2,Tottenham,20730,Vicarage Road Stadium,Anthony Taylor,Match Report,
19,Mon,2015-12-28,15:00 (16:00),Norwich City,2–0,Aston Villa,27071,Carrow Road,Graham Scott,Match Report,
19,Mon,2015-12-28,15:00 (16:00),West Brom,1–0,Newcastle Utd,26313,The Hawthorns,Mike Jones,Match Report,
19,Mon,2015-12-28,15:00 (16:00),Crystal Palace,0–0,Swansea City,23714,Selhurst Park,Niel Swarbrick,Match Report,
19,Mon,2015-12-28,15:00 (16:00),Everton,3–4,Stoke City,39340,Goodison Park,Mark Clattenburg,Match Report,
19,Mon,2015-12-28,17:30 (18:30),Manchester Utd,0–0,Chelsea,75275,Old Trafford,Martin Atkinson,Match Report,
19,Mon,2015-12-28,17:30 (18:30),West Ham,2–1,Southampton,34977,Boleyn Ground,Michael Oliver,Match Report,
19,Mon,2015-12-28,17:30 (18:30),Arsenal,2–0,Bournemouth,59983,Emirates Stadium,Roger East,Match Report,
19,Tue,2015-12-29,19:45 (20:45),Leicester City,0–0,Manchester City,32072,King Power Stadium,Craig Pawson,Match Report,
19,Wed,2015-12-30,19:45 (20:45),Sunderland,0–1,Liverpool,45765,Stadium of Light,Kevin Friend,Match Report,
,,,,,,,,,,,
20,Sat,2016-01-02,12:45 (13:45),West Ham,2–0,Liverpool,34977,Boleyn Ground,Robert Madley,Match Report,
20,Sat,2016-01-02,15:00 (16:00),Sunderland,3–1,Aston Villa,41535,Stadium of Light,Craig Pawson,Match Report,
20,Sat,2016-01-02,15:00 (16:00),West Brom,2–1,Stoke City,23218,The Hawthorns,Lee Mason,Match Report,
20,Sat,2016-01-02,15:00 (16:00),Norwich City,1–0,Southampton,27022,Carrow Road,Mark Clattenburg,Match Report,
20,Sat,2016-01-02,15:00 (16:00),Manchester Utd,2–1,Swansea City,75415,Old Trafford,Jonathan Moss,Match Report,
20,Sat,2016-01-02,15:00 (16:00),Arsenal,1–0,Newcastle Utd,59257,Emirates Stadium,Anthony Taylor,Match Report,
20,Sat,2016-01-02,15:00 (16:00),Leicester City,0–0,Bournemouth,32006,King Power Stadium,Andre Marriner,Match Report,
20,Sat,2016-01-02,17:30 (18:30),Watford,1–2,Manchester City,20676,Vicarage Road Stadium,Martin Atkinson,Match Report,
20,Sun,2016-01-03,13:30 (14:30),Crystal Palace,0–3,Chelsea,24854,Selhurst Park,Kevin Friend,Match Report,
20,Sun,2016-01-03,16:00 (17:00),Everton,1–1,Tottenham,38482,Goodison Park,Michael Oliver,Match Report,
,,,,,,,,,,,
21,Tue,2016-01-12,19:45 (20:45),Bournemouth,1–3,West Ham,11071,Vitality Stadium,Martin Atkinson,Match Report,
21,Tue,2016-01-12,19:45 (20:45),Aston Villa,1–0,Crystal Palace,28245,Villa Park,Mark Clattenburg,Match Report,
21,Tue,2016-01-12,19:45 (20:45),Newcastle Utd,3–3,Manchester Utd,49673,St. James' Park,Mike Dean,Match Report,
21,Wed,2016-01-13,19:45 (20:45),Swansea City,2–4,Sunderland,20140,Liberty Stadium,Graham Scott,Match Report,
21,Wed,2016-01-13,19:45 (20:45),Southampton,2–0,Watford,28399,St. Mary's Stadium,Craig Pawson,Match Report,
21,Wed,2016-01-13,19:45 (20:45),Chelsea,2–2,West Brom,40945,Stamford Bridge,Anthony Taylor,Match Report,
21,Wed,2016-01-13,19:45 (20:45),Manchester City,0–0,Everton,53796,Etihad Stadium,Roger East,Match Report,
21,Wed,2016-01-13,19:45 (20:45),Stoke City,3–1,Norwich City,27274,Bet365 Stadium,Niel Swarbrick,Match Report,
21,Wed,2016-01-13,20:00 (21:00),Liverpool,3–3,Arsenal,44109,Anfield,Mike Jones,Match Report,
21,Wed,2016-01-13,20:00 (21:00),Tottenham,0–1,Leicester City,35850,White Hart Lane,Lee Mason,Match Report,
,,,,,,,,,,,
22,Sat,2016-01-16,12:45 (13:45),Tottenham,4–1,Sunderland,35854,White Hart Lane,Mike Dean,Match Report,
22,Sat,2016-01-16,15:00 (16:00),Manchester City,4–0,Crystal Palace,53983,Etihad Stadium,Jonathan Moss,Match Report,
22,Sat,2016-01-16,15:00 (16:00),Bournemouth,3–0,Norwich City,11065,Vitality Stadium,Robert Madley,Match Report,
22,Sat,2016-01-16,15:00 (16:00),Newcastle Utd,2–1,West Ham,50031,St. James' Park,Niel Swarbrick,Match Report,
