Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
4,Sat,2011-09-10,,Manchester City,3–0,Wigan Athletic,,,Martin Atkinson,Match Report,
4,Sat,2011-09-10,,Bolton,0–5,Manchester Utd,,,Andre Marriner,Match Report,
4,Sat,2011-09-10,,Stoke City,1–0,Liverpool,,,Mark Clattenburg,Match Report,
4,Sat,2011-09-10,,Sunderland,1–2,Chelsea,,,Lee Probert,Match Report,
4,Sat,2011-09-10,,Everton,2–2,Aston Villa,,,Michael Oliver,Match Report,
4,Sat,2011-09-10,,Arsenal,1–0,Swansea City,,,Stuart Attwell,Match Report,
4,Sat,2011-09-10,,Wolves,0–2,Tottenham,,,Peter Walton,Match Report,
4,Sun,2011-09-11,,Norwich City,0–1,West Brom,,,Mark Halsey,Match Report,
4,Sun,2011-09-11,,Fulham,1–1,Blackburn,,,Howard Webb,Match Report,
4,Mon,2011-09-12,,QPR,0–0,Newcastle Utd,,,Phil Dowd,Match Report,
,,,,,,,,,,,
5,Sat,2011-09-17,,Everton,3–1,Wigan Athletic,,,Peter Walton,Match Report,
5,Sat,2011-09-17,,Wolves,0–3,QPR,,,Anthony Taylor,Match Report,
5,Sat,2011-09-17,,Swansea City,3–0,West Brom,,,Martin Atkinson,Match Report,
5,Sat,2011-09-17,,Blackburn,4–3,Arsenal,,,Andre Marriner,Match Report,
5,Sat,2011-09-17,,Bolton,1–2,Norwich City,,,Howard Webb,Match Report,
5,Sat,2011-09-17,,Aston Villa,1–1,Newcastle Utd,,,Neil Swarbrick,Match Report,
5,Sun,2011-09-18,,Tottenham,4–0,Liverpool,,,Mike Jones,Match Report,
5,Sun,2011-09-18,,Sunderland,4–0,Stoke City,,,Kevin Friend,Match Report,
5,Sun,2011-09-18,,Fulham,2–2,Manchester City,,,Mark Clattenburg,Match Report,
5,Sun,2011-09-18,,Manchester Utd,3–1,Chelsea,,,Phil Dowd,Match Report,
,,,,,,,,,,,
6,Sat,2011-09-24,,West Brom,0–0,Fulham,,,Stuart Attwell,Match Report,
6,Sat,2011-09-24,,Liverpool,2–1,Wolves,,,Kevin Friend,Match Report,
6,Sat,2011-09-24,,Wigan Athletic,1–2,Tottenham,,,Jon Moss,Match Report,
6,Sat,2011-09-24,,Stoke City,1–1,Manchester Utd,,,Peter Walton,Match Report,
6,Sat,2011-09-24,,Arsenal,3–0,Bolton,,,Mark Clattenburg,Match Report,
6,Sat,2011-09-24,,Newcastle Utd,3–1,Blackburn,,,Martin Atkinson,Match Report,
6,Sat,2011-09-24,,Manchester City,2–0,Everton,,,Howard Webb,Match Report,
6,Sat,2011-09-24,,Chelsea,4–1,Swansea City,,,Mike Dean,Match Report,
6,Sun,2011-09-25,,QPR,1–1,Aston Villa,,,Michael Oliver,Match Report,
6,Mon,2011-09-26,,Norwich City,2–1,Sunderland,,,Chris Foy,Match Report,
,,,,,,,,,,,
7,Sat,2011-10-01,,Blackburn,0–4,Manchester City,,,Phil Dowd,Match Report,
7,Sat,2011-10-01,,Everton,0–2,Liverpool,,,Martin Atkinson,Match Report,
7,Sat,2011-10-01,,Wolves,1–2,Newcastle Utd,,,Mark Halsey,Match Report,
7,Sat,2011-10-01,,Aston Villa,2–0,Wigan Athletic,,,Mark Clattenburg,Match Report,
7,Sat,2011-10-01,,Manchester Utd,2–0,Norwich City,,,Stuart Attwell,Match Report,
7,Sat,2011-10-01,,Sunderland,2–2,West Brom,,,Lee Mason,Match Report,
7,Sun,2011-10-02,,Bolton,1–5,Chelsea,,,Peter Walton,Match Report,
7,Sun,2011-10-02,,Tottenham,2–1,Arsenal,,,Mike Dean,Match Report,
7,Sun,2011-10-02,,Fulham,6–0,QPR,,,Andre Marriner,Match Report,
7,Sun,2011-10-02,,Swansea City,2–0,Stoke City,,,Mike Jones,Match Report,
,,,,,,,,,,,
8,Sat,2011-10-15,,Manchester City,4–1,Aston Villa,,,Anthony Taylor,Match Report,
8,Sat,2011-10-15,,Norwich City,3–1,Swansea City,,,Jon Moss,Match Report,
8,Sat,2011-10-15,,QPR,1–1,Blackburn,,,Mark Clattenburg,Match Report,
8,Sat,2011-10-15,,Liverpool,1–1,Manchester Utd,,,Andre Marriner,Match Report,
8,Sat,2011-10-15,,Stoke City,2–0,Fulham,,,Martin Atkinson,Match Report,
8,Sat,2011-10-15,,Wigan Athletic,1–3,Bolton,,,Mike Dean,Match Report,
8,Sat,2011-10-15,,Chelsea,3–1,Everton,,,Mike Jones,Match Report,
8,Sun,2011-10-16,,Arsenal,2–1,Sunderland,,,Howard Webb,Match Report,
8,Sun,2011-10-16,,West Brom,2–0,Wolves,,,Chris Foy,Match Report,
8,Sun,2011-10-16,,Newcastle Utd,2–2,Tottenham,,,Lee Probert,Match Report,
,,,,,,,,,,,
9,Sat,2011-10-22,,Liverpool,1–1,Norwich City,,,Peter Walton,Match Report,
9,Sat,2011-10-22,,Aston Villa,1–2,West Brom,,,Phil Dowd,Match Report,
9,Sat,2011-10-22,,Wolves,2–2,Swansea City,,,Michael Oliver,Match Report,
9,Sat,2011-10-22,,Newcastle Utd,1–0,Wigan Athletic,,,Neil Swarbrick,Match Report,
9,Sat,2011-10-22,,Bolton,0–2,Sunderland,,,Mike Jones,Match Report,
9,Sun,2011-10-23,,Fulham,1–3,Everton,,,Lee Probert,Match Report,
9,Sun,2011-10-23,,Arsenal,3–1,Stoke City,,,Lee Mason,Match Report,
9,Sun,2011-10-23,,Blackburn,1–2,Tottenham,,,Stuart Attwell,Match Report,
9,Sun,2011-10-23,,Manchester Utd,1–6,Manchester City,,,Mark Clattenburg,Match Report,
9,Sun,2011-10-23,,QPR,1–0,Chelsea,,,Chris Foy,Match Report,
,,,,,,,,,,,
10,Sat,2011-10-29,,Everton,0–1,Manchester Utd,,,Mark Halsey,Match Report,
10,Sat,2011-10-29,,Wigan Athletic,0–2,Fulham,,,Mike Jones,Match Report,
10,Sat,2011-10-29,,Norwich City,3–3,Blackburn,,,Anthony Taylor,Match Report,
10,Sat,2011-10-29,,Sunderland,2–2,Aston Villa,,,Chris Foy,Match Report,
10,Sat,2011-10-29,,Chelsea,3–5,Arsenal,,,Andre Marriner,Match Report,
10,Sat,2011-10-29,,Swansea City,3–1,Bolton,,,Mark Clattenburg,Match Report,
10,Sat,2011-10-29,,West Brom,0–2,Liverpool,,,Lee Mason,Match Report,
10,Sat,2011-10-29,,Manchester City,3–1,Wolves,,,Stuart Attwell,Match Report,
10,Sun,2011-10-30,,Tottenham,3–1,QPR,,,Howard Webb,Match Report,
10,Mon,2011-10-31,,Stoke City,1–3,Newcastle Utd,,,Mike Dean,Match Report,
,,,,,,,,,,,
11,Sat,2011-11-05,,Newcastle Utd,2–1,Everton,,,Andre Marriner,Match Report,
11,Sat,2011-11-05,,QPR,2–3,Manchester City,,,Martin Atkinson,Match Report,
11,Sat,2011-11-05,,Arsenal,3–0,West Brom,,,Michael Oliver,Match Report,
11,Sat,2011-11-05,,Liverpool,0–0,Swansea City,,,Phil Dowd,Match Report,
11,Sat,2011-11-05,,Manchester Utd,1–0,Sunderland,,,Lee Mason,Match Report,
11,Sat,2011-11-05,,Aston Villa,3–2,Norwich City,,,Kevin Friend,Match Report,
11,Sat,2011-11-05,,Blackburn,0–1,Chelsea,,,Mike Dean,Match Report,
11,Sun,2011-11-06,,Bolton,5–0,Stoke City,,,Howard Webb,Match Report,
11,Sun,2011-11-06,,Wolves,3–1,Wigan Athletic,,,Lee Probert,Match Report,
11,Sun,2011-11-06,,Fulham,1–3,Tottenham,,,Peter Walton,Match Report,
,,,,,,,,,,,
12,Sat,2011-11-19,,Everton,2–1,Wolves,,,Jon Moss,Match Report,
12,Sat,2011-11-19,,Stoke City,2–3,QPR,,,Mike Jones,Match Report,
12,Sat,2011-11-19,,West Brom,2–1,Bolton,,,Neil Swarbrick,Match Report,
12,Sat,2011-11-19,,Swansea City,0–1,Manchester Utd,,,Mike Dean,Match Report,
12,Sat,2011-11-19,,Manchester City,3–1,Newcastle Utd,,,Chris Foy,Match Report,
12,Sat,2011-11-19,,Norwich City,1–2,Arsenal,,,Phil Dowd,Match Report,
12,Sat,2011-11-19,,Sunderland,0–0,Fulham,,,Anthony Taylor,Match Report,
12,Sat,2011-11-19,,Wigan Athletic,3–3,Blackburn,,,Andre Marriner,Match Report,
12,Sun,2011-11-20,,Chelsea,1–2,Liverpool,,,Lee Probert,Match Report,
12,Mon,2011-11-21,,Tottenham,2–0,Aston Villa,,,Mark Halsey,Match Report,
,,,,,,,,,,,
13,Sat,2011-11-26,,Sunderland,1–2,Wigan Athletic,,,Kevin Friend,Match Report,
13,Sat,2011-11-26,,Bolton,0–2,Everton,,,Michael Oliver,Match Report,
13,Sat,2011-11-26,,West Brom,1–3,Tottenham,,,Lee Probert,Match Report,
13,Sat,2011-11-26,,Stoke City,3–1,Blackburn,,,Mark Halsey,Match Report,
13,Sat,2011-11-26,,Manchester Utd,1–1,Newcastle Utd,,,Mike Jones,Match Report,
13,Sat,2011-11-26,,Norwich City,2–1,QPR,,,Mark Clattenburg,Match Report,
13,Sat,2011-11-26,,Chelsea,3–0,Wolves,,,Lee Mason,Match Report,
13,Sat,2011-11-26,,Arsenal,1–1,Fulham,,,Mike Dean,Match Report,
13,Sun,2011-11-27,,Liverpool,1–1,Manchester City,,,Martin Atkinson,Match Report,
13,Sun,2011-11-27,,Swansea City,0–0,Aston Villa,,,Neil Swarbrick,Match Report,
,,,,,,,,,,,
14,Sat,2011-12-03,,QPR,1–1,West Brom,,,Martin Atkinson,Match Report,
14,Sat,2011-12-03,,Blackburn,4–2,Swansea City,,,Chris Foy,Match Report,
14,Sat,2011-12-03,,Wigan Athletic,0–4,Arsenal,,,Mark Clattenburg,Match Report,
14,Sat,2011-12-03,,Aston Villa,0–1,Manchester Utd,,,Lee Probert,Match Report,
14,Sat,2011-12-03,,Tottenham,3–0,Bolton,,,Stuart Attwell,Match Report,
14,Sat,2011-12-03,,Manchester City,5–1,Norwich City,,,Howard Webb,Match Report,
14,Sat,2011-12-03,,Newcastle Utd,0–3,Chelsea,,,Mike Dean,Match Report,
14,Sun,2011-12-04,,Wolves,2–1,Sunderland,,,Phil Dowd,Match Report,
14,Sun,2011-12-04,,Everton,0–1,Stoke City,,,Lee Mason,Match Report,
14,Mon,2011-12-05,,Fulham,1–0,Liverpool,,,Kevin Friend,Match Report,
,,,,,,,,,,,
15,Sat,2011-12-10,,West Brom,1–2,Wigan Athletic,,,Mike Dean,Match Report,
15,Sat,2011-12-10,,Manchester Utd,4–1,Wolves,,,Michael Oliver,Match Report,
15,Sat,2011-12-10,,Arsenal,1–0,Everton,,,Howard Webb,Match Report,
15,Sat,2011-12-10,,Bolton,1–2,Aston Villa,,,Phil Dowd,Match Report,
15,Sat,2011-12-10,,Liverpool,1–0,QPR,,,Lee Mason,Match Report,
15,Sat,2011-12-10,,Swansea City,2–0,Fulham,,,Jon Moss,Match Report,
15,Sat,2011-12-10,,Norwich City,4–2,Newcastle Utd,,,Martin Atkinson,Match Report,
15,Sun,2011-12-11,,Stoke City,2–1,Tottenham,,,Chris Foy,Match Report,
15,Sun,2011-12-11,,Sunderland,2–1,Blackburn,,,Peter Walton,Match Report,
15,Mon,2011-12-12,,Chelsea,2–1,Manchester City,,,Mark Clattenburg,Match Report,
,,,,,,,,,,,
16,Sat,2011-12-17,,Fulham,2–0,Bolton,,,Chris Foy,Match Report,
16,Sat,2011-12-17,,Everton,1–1,Norwich City,,,Lee Probert,Match Report,
16,Sat,2011-12-17,,Wigan Athletic,1–1,Chelsea,,,Martin Atkinson,Match Report,
16,Sat,2011-12-17,,Newcastle Utd,0–0,Swansea City,,,Lee Mason,Match Report,
16,Sat,2011-12-17,,Wolves,1–2,Stoke City,,,Anthony Taylor,Match Report,
16,Sat,2011-12-17,,Blackburn,1–2,West Brom,,,Mark Clattenburg,Match Report,
16,Sun,2011-12-18,,QPR,0–2,Manchester Utd,,,Howard Webb,Match Report,
16,Sun,2011-12-18,,Aston Villa,0–2,Liverpool,,,Peter Walton,Match Report,
16,Sun,2011-12-18,,Tottenham,1–0,Sunderland,,,Mike Dean,Match Report,
16,Sun,2011-12-18,,Manchester City,1–0,Arsenal,,,Phil Dowd,Match Report,
,,,,,,,,,,,
17,Tue,2011-12-20,,Blackburn,1–2,Bolton,,,Martin Atkinson,Match Report,
17,Tue,2011-12-20,,Wolves,2–2,Norwich City,,,Chris Foy,Match Report,
17,Wed,2011-12-21,,Aston Villa,1–2,Arsenal,,,Jon Moss,Match Report,
17,Wed,2011-12-21,,Fulham,0–5,Manchester Utd,,,Mark Halsey,Match Report,
17,Wed,2011-12-21,,QPR,2–3,Sunderland,,,Andre Marriner,Match Report,
17,Wed,2011-12-21,,Manchester City,3–0,Stoke City,,,Mike Dean,Match Report,
17,Wed,2011-12-21,,Everton,1–0,Swansea City,,,Kevin Friend,Match Report,
17,Wed,2011-12-21,,Newcastle Utd,2–3,West Brom,,,Anthony Taylor,Match Report,
17,Wed,2011-12-21,,Wigan Athletic,0–0,Liverpool,,,Michael Oliver,Match Report,
17,Thu,2011-12-22,,Tottenham,1–1,Chelsea,,,Howard Webb,Match Report,
,,,,,,,,,,,
18,Mon,2011-12-26,,Sunderland,1–1,Everton,,,Howard Webb,Match Report,
18,Mon,2011-12-26,,Liverpool,1–1,Blackburn,,,Mike Jones,Match Report,
18,Mon,2011-12-26,,West Brom,0–0,Manchester City,,,Lee Mason,Match Report,
18,Mon,2011-12-26,,Manchester Utd,5–0,Wigan Athletic,,,Phil Dowd,Match Report,
18,Mon,2011-12-26,,Chelsea,1–1,Fulham,,,Kevin Friend,Match Report,
18,Mon,2011-12-26,,Bolton,0–2,Newcastle Utd,,,Peter Walton,Match Report,
18,Mon,2011-12-26,,Stoke City,0–0,Aston Villa,,,Mark Clattenburg,Match Report,
18,Tue,2011-12-27,,Norwich City,0–2,Tottenham,,,Michael Oliver,Match Report,
18,Tue,2011-12-27,,Arsenal,1–1,Wolves,,,Stuart Attwell,Match Report,
18,Tue,2011-12-27,,Swansea City,1–1,QPR,,,Lee Probert,Match Report,
,,,,,,,,,,,
19,Fri,2011-12-30,,Liverpool,3–1,Newcastle Utd,,,Lee Probert,Match Report,
19,Sat,2011-12-31,,Bolton,1–1,Wolves,,,Mark Clattenburg,Match Report,
19,Sat,2011-12-31,,Chelsea,1–3,Aston Villa,,,Mark Halsey,Match Report,
19,Sat,2011-12-31,,Swansea City,1–1,Tottenham,,,Phil Dowd,Match Report,
19,Sat,2011-12-31,,Manchester Utd,2–3,Blackburn,,,Mike Dean,Match Report,
19,Sat,2011-12-31,,Arsenal,1–0,QPR,,,Martin Atkinson,Match Report,
19,Sat,2011-12-31,,Norwich City,1–1,Fulham,,,Howard Webb,Match Report,
19,Sat,2011-12-31,,Stoke City,2–2,Wigan Athletic,,,Michael Oliver,Match Report,
19,Sun,2012-01-01,,West Brom,0–1,Everton,,,Stuart Attwell,Match Report,
19,Sun,2012-01-01,,Sunderland,1–0,Manchester City,,,Kevin Friend,Match Report,
,,,,,,,,,,,
20,Mon,2012-01-02,,Fulham,2–1,Arsenal,,,Lee Probert,Match Report,
20,Mon,2012-01-02,,Aston Villa,0–2,Swansea City,,,Anthony Taylor,Match Report,
20,Mon,2012-01-02,,Blackburn,1–2,Stoke City,,,Lee Mason,Match Report,
20,Mon,2012-01-02,,Wolves,1–2,Chelsea,,,Peter Walton,Match Report,
20,Mon,2012-01-02,,QPR,1–2,Norwich City,,,Neil Swarbrick,Match Report,
20,Tue,2012-01-03,,Manchester City,3–0,Liverpool,,,Andre Marriner,Match Report,
20,Tue,2012-01-03,,Wigan Athletic,1–4,Sunderland,,,Mike Dean,Match Report,
20,Tue,2012-01-03,,Tottenham,1–0,West Brom,,,Mark Halsey,Match Report,
20,Wed,2012-01-04,,Newcastle Utd,3–0,Manchester Utd,,,Howard Webb,Match Report,
20,Wed,2012-01-04,,Everton,1–2,Bolton,,,Phil Dowd,Match Report,
,,,,,,,,,,,
1,Wed,2012-01-11,,Tottenham,2–0,Everton,,,Martin Atkinson,Match Report,
,,,,,,,,,,,
21,Sat,2012-01-14,,Aston Villa,1–1,Everton,,,Mark Clattenburg,Match Report,
21,Sat,2012-01-14,,West Brom,1–2,Norwich City,,,Mike Dean,Match Report,
21,Sat,2012-01-14,,Liverpool,0–0,Stoke City,,,Howard Webb,Match Report,
21,Sat,2012-01-14,,Manchester Utd,3–0,Bolton,,,Peter Walton,Match Report,
21,Sat,2012-01-14,,Chelsea,1–0,Sunderland,,,Phil Dowd,Match Report,
21,Sat,2012-01-14,,Blackburn,3–1,Fulham,,,Anthony Taylor,Match Report,
21,Sat,2012-01-14,,Tottenham,1–1,Wolves,,,Mike Jones,Match Report,
21,Sun,2012-01-15,,Newcastle Utd,1–0,QPR,,,Chris Foy,Match Report,
21,Sun,2012-01-15,,Swansea City,3–2,Arsenal,,,Michael Oliver,Match Report,
21,Mon,2012-01-16,,Wigan Athletic,0–1,Manchester City,,,Martin Atkinson,Match Report,
,,,,,,,,,,,
22,Sat,2012-01-21,,Norwich City,0–0,Chelsea,,,Mark Clattenburg,Match Report,
22,Sat,2012-01-21,,Stoke City,1–2,West Brom,,,Anthony Taylor,Match Report,
22,Sat,2012-01-21,,Fulham,5–2,Newcastle Utd,,,Lee Mason,Match Report,
22,Sat,2012-01-21,,Wolves,2–3,Aston Villa,,,Michael Oliver,Match Report,
22,Sat,2012-01-21,,Everton,1–1,Blackburn,,,Mark Halsey,Match Report,
22,Sat,2012-01-21,,Bolton,3–1,Liverpool,,,Kevin Friend,Match Report,
22,Sat,2012-01-21,,QPR,3–1,Wigan Athletic,,,Jon Moss,Match Report,
22,Sat,2012-01-21,,Sunderland,2–0,Swansea City,,,Chris Foy,Match Report,
22,Sun,2012-01-22,,Arsenal,1–2,Manchester Utd,,,Mike Dean,Match Report,
22,Sun,2012-01-22,,Manchester City,3–2,Tottenham,,,Howard Webb,Match Report,
,,,,,,,,,,,
23,Tue,2012-01-31,,Tottenham,3–1,Wigan Athletic,,,Lee Probert,Match Report,
23,Tue,2012-01-31,,Everton,1–0,Manchester City,,,Peter Walton,Match Report,
23,Tue,2012-01-31,,Manchester Utd,2–0,Stoke City,,,Mike Jones,Match Report,
23,Tue,2012-01-31,,Wolves,0–3,Liverpool,,,Anthony Taylor,Match Report,
23,Tue,2012-01-31,,Swansea City,1–1,Chelsea,,,Andre Marriner,Match Report,
23,Wed,2012-02-01,,Fulham,1–1,West Brom,,,Mark Halsey,Match Report,
23,Wed,2012-02-01,,Aston Villa,2–2,QPR,,,Neil Swarbrick,Match Report,
23,Wed,2012-02-01,,Blackburn,0–2,Newcastle Utd,,,Phil Dowd,Match Report,
23,Wed,2012-02-01,,Sunderland,3–0,Norwich City,,,Lee Mason,Match Report,
23,Wed,2012-02-01,,Bolton,0–0,Arsenal,,,Chris Foy,Match Report,
,,,,,,,,,,,
24,Sat,2012-02-04,,Wigan Athletic,1–1,Everton,,,Anthony Taylor,Match Report,
24,Sat,2012-02-04,,Manchester City,3–0,Fulham,,,Mike Dean,Match Report,
24,Sat,2012-02-04,,Stoke City,0–1,Sunderland,,,Martin Atkinson,Match Report,
24,Sat,2012-02-04,,QPR,1–2,Wolves,,,Mark Clattenburg,Match Report,
24,Sat,2012-02-04,,West Brom,1–2,Swansea City,,,Jon Moss,Match Report,
24,Sat,2012-02-04,,Norwich City,2–0,Bolton,,,Lee Probert,Match Report,
24,Sat,2012-02-04,,Arsenal,7–1,Blackburn,,,Andre Marriner,Match Report,
24,Sun,2012-02-05,,Newcastle Utd,2–1,Aston Villa,,,Mark Halsey,Match Report,
24,Sun,2012-02-05,,Chelsea,3–3,Manchester Utd,,,Howard Webb,Match Report,
24,Mon,2012-02-06,,Liverpool,0–0,Tottenham,,,Michael Oliver,Match Report,
,,,,,,,,,,,
25,Sat,2012-02-11,,Manchester Utd,2–1,Liverpool,,,Phil Dowd,Match Report,
25,Sat,2012-02-11,,Fulham,2–1,Stoke City,,,Chris Foy,Match Report,
25,Sat,2012-02-11,,Sunderland,1–2,Arsenal,,,Neil Swarbrick,Match Report,
25,Sat,2012-02-11,,Tottenham,5–0,Newcastle Utd,,,Andre Marriner,Match Report,
25,Sat,2012-02-11,,Everton,2–0,Chelsea,,,Mike Jones,Match Report,
25,Sat,2012-02-11,,Swansea City,2–3,Norwich City,,,Martin Atkinson,Match Report,
25,Sat,2012-02-11,,Bolton,1–2,Wigan Athletic,,,Howard Webb,Match Report,
25,Sat,2012-02-11,,Blackburn,3–2,QPR,,,Mike Dean,Match Report,
25,Sun,2012-02-12,,Wolves,1–5,West Brom,,,Lee Mason,Match Report,
25,Sun,2012-02-12,,Aston Villa,0–1,Manchester City,,,Michael Oliver,Match Report,
,,,,,,,,,,,
26,Sat,2012-02-25,,West Brom,4–0,Sunderland,,,Chris Foy,Match Report,
26,Sat,2012-02-25,,Manchester City,3–0,Blackburn,,,Mike Jones,Match Report,
26,Sat,2012-02-25,,Chelsea,3–0,Bolton,,,Michael Oliver,Match Report,
26,Sat,2012-02-25,,Newcastle Utd,2–2,Wolves,,,Peter Walton,Match Report,
26,Sat,2012-02-25,,Wigan Athletic,0–0,Aston Villa,,,Kevin Friend,Match Report,
26,Sat,2012-02-25,,QPR,0–1,Fulham,,,Phil Dowd,Match Report,
26,Sun,2012-02-26,,Stoke City,2–0,Swansea City,,,Howard Webb,Match Report,
26,Sun,2012-02-26,,Arsenal,5–2,Tottenham,,,Mike Dean,Match Report,
26,Sun,2012-02-26,,Norwich City,1–2,Manchester Utd,,,Andre Marriner,Match Report,
,,,,,,,,,,,
27,Sat,2012-03-03,,Blackburn,1–1,Aston Villa,,,Howard Webb,Match Report,
27,Sat,2012-03-03,,Stoke City,1–0,Norwich City,,,Michael Oliver,Match Report,
27,Sat,2012-03-03,,QPR,1–1,Everton,,,Kevin Friend,Match Report,
27,Sat,2012-03-03,,Wigan Athletic,0–2,Swansea City,,,Andre Marriner,Match Report,
27,Sat,2012-03-03,,Manchester City,2–0,Bolton,,,Mark Clattenburg,Match Report,
27,Sat,2012-03-03,,West Brom,1–0,Chelsea,,,Phil Dowd,Match Report,
27,Sat,2012-03-03,,Liverpool,1–2,Arsenal,,,Mark Halsey,Match Report,
27,Sun,2012-03-04,,Tottenham,1–3,Manchester Utd,,,Martin Atkinson,Match Report,
27,Sun,2012-03-04,,Fulham,5–0,Wolves,,,Mike Jones,Match Report,
27,Sun,2012-03-04,,Newcastle Utd,1–1,Sunderland,,,Mike Dean,Match Report,
,,,,,,,,,,,
28,Sat,2012-03-10,,Bolton,2–1,QPR,,,Martin Atkinson,Match Report,
28,Sat,2012-03-10,,Sunderland,1–0,Liverpool,,,Anthony Taylor,Match Report,
28,Sat,2012-03-10,,Chelsea,1–0,Stoke City,,,Andre Marriner,Match Report,
28,Sat,2012-03-10,,Aston Villa,1–0,Fulham,,,Jon Moss,Match Report,
28,Sat,2012-03-10,,Wolves,0–2,Blackburn,,,Chris Foy,Match Report,
28,Sat,2012-03-10,,Everton,1–0,Tottenham,,,Mark Halsey,Match Report,
28,Sun,2012-03-11,,Swansea City,1–0,Manchester City,,,Lee Mason,Match Report,
28,Sun,2012-03-11,,Manchester Utd,2–0,West Brom,,,Lee Probert,Match Report,
28,Sun,2012-03-11,,Norwich City,1–1,Wigan Athletic,,,Kevin Friend,Match Report,
28,Mon,2012-03-12,,Arsenal,2–1,Newcastle Utd,,,Howard Webb,Match Report,
,,,,,,,,,,,
26,Tue,2012-03-13,,Liverpool,3–0,Everton,,,Phil Dowd,Match Report,
,,,,,,,,,,,
29,Sat,2012-03-17,,Fulham,0–3,Swansea City,,,Mark Halsey,Match Report,
29,Sat,2012-03-17,,Wigan Athletic,1–1,West Brom,,,Michael Oliver,Match Report,
29,Sun,2012-03-18,,Wolves,0–5,Manchester Utd,,,Anthony Taylor,Match Report,
29,Sun,2012-03-18,,Newcastle Utd,1–0,Norwich City,,,Phil Dowd,Match Report,
29,Tue,2012-03-20,,Blackburn,2–0,Sunderland,,,Martin Atkinson,Match Report,
29,Wed,2012-03-21,,QPR,3–2,Liverpool,,,Howard Webb,Match Report,
29,Wed,2012-03-21,,Tottenham,1–1,Stoke City,,,Mike Jones,Match Report,
29,Wed,2012-03-21,,Manchester City,2–1,Chelsea,,,Mike Dean,Match Report,
29,Wed,2012-03-21,,Everton,0–1,Arsenal,,,Lee Mason,Match Report,
,,,,,,,,,,,
30,Sat,2012-03-24,,Norwich City,2–1,Wolves,,,Mark Clattenburg,Match Report,
30,Sat,2012-03-24,,Liverpool,1–2,Wigan Athletic,,,Lee Mason,Match Report,
30,Sat,2012-03-24,,Bolton,2–1,Blackburn,,,Andre Marriner,Match Report,
30,Sat,2012-03-24,,Chelsea,0–0,Tottenham,,,Martin Atkinson,Match Report,
30,Sat,2012-03-24,,Arsenal,3–0,Aston Villa,,,Phil Dowd,Match Report,
