Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
1,Sat,2011-08-13,,Wigan Athletic,1–1,Norwich City,,,Stuart Attwell,Match Report,
1,Sat,2011-08-13,,Newcastle Utd,0–0,Arsenal,,,Peter Walton,Match Report,
1,Sat,2011-08-13,,QPR,0–4,Bolton,,,Martin Atkinson,Match Report,
1,Sat,2011-08-13,,Fulham,0–0,Aston Villa,,,Lee Mason,Match Report,
1,Sat,2011-08-13,,Blackburn,1–2,Wolves,,,Kevin Friend,Match Report,
1,Sat,2011-08-13,,Liverpool,1–1,Sunderland,,,Phil Dowd,Match Report,
1,Sun,2011-08-14,,West Brom,1–2,Manchester Utd,,,Mike Jones,Match Report,
1,Sun,2011-08-14,,Stoke City,0–0,Chelsea,,,Mark Halsey,Match Report,
1,Mon,2011-08-15,,Manchester City,4–0,Swansea City,,,Mike Dean,Match Report,
,,,,,,,,,,,
2,Sat,2011-08-20,,Everton,0–1,QPR,,,Kevin Friend,Match Report,
2,Sat,2011-08-20,,Sunderland,0–1,Newcastle Utd,,,Howard Webb,Match Report,
2,Sat,2011-08-20,,Aston Villa,3–1,Blackburn,,,Stuart Attwell,Match Report,
2,Sat,2011-08-20,,Swansea City,0–0,Wigan Athletic,,,Phil Dowd,Match Report,
2,Sat,2011-08-20,,Arsenal,0–2,Liverpool,,,Martin Atkinson,Match Report,
2,Sat,2011-08-20,,Chelsea,2–1,West Brom,,,Lee Mason,Match Report,
2,Sun,2011-08-21,,Norwich City,1–1,Stoke City,,,Neil Swarbrick,Match Report,
2,Sun,2011-08-21,,Bolton,2–3,Manchester City,,,Mike Jones,Match Report,
2,Sun,2011-08-21,,Wolves,2–0,Fulham,,,Mike Dean,Match Report,
2,Mon,2011-08-22,,Manchester Utd,3–0,Tottenham,,,Lee Probert,Match Report,
,,,,,,,,,,,
3,Sat,2011-08-27,,Blackburn,0–1,Everton,,,Lee Mason,Match Report,
3,Sat,2011-08-27,,Chelsea,3–1,Norwich City,,,Mike Jones,Match Report,
3,Sat,2011-08-27,,Wigan Athletic,2–0,QPR,,,Michael Oliver,Match Report,
3,Sat,2011-08-27,,Swansea City,0–0,Sunderland,,,Mark Halsey,Match Report,
3,Sat,2011-08-27,,Aston Villa,0–0,Wolves,,,Martin Atkinson,Match Report,
3,Sat,2011-08-27,,Liverpool,3–1,Bolton,,,Lee Probert,Match Report,
3,Sun,2011-08-28,,Newcastle Utd,2–1,Fulham,,,Kevin Friend,Match Report,
3,Sun,2011-08-28,,West Brom,0–1,Stoke City,,,Mike Dean,Match Report,
3,Sun,2011-08-28,,Tottenham,1–5,Manchester City,,,Phil Dowd,Match Report,
3,Sun,2011-08-28,,Manchester Utd,8–2,Arsenal,,,Howard Webb,Match Report,
,,,,,,,,,,,
