Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
1,Sat,2012-08-18,,Reading,1–1,Stoke City,,,Kevin Friend,Match Report,
1,Sat,2012-08-18,,Newcastle Utd,2–1,Tottenham,,,Martin Atkinson,Match Report,
1,Sat,2012-08-18,,Arsenal,0–0,Sunderland,,,Chris Foy,Match Report,
1,Sat,2012-08-18,,Fulham,5–0,Norwich City,,,Michael Oliver,Match Report,
1,Sat,2012-08-18,,West Ham,1–0,Aston Villa,,,Mike Dean,Match Report,
1,Sat,2012-08-18,,QPR,0–5,Swansea City,,,Lee Probert,Match Report,
1,Sat,2012-08-18,,West Brom,3–0,Liverpool,,,Phil Dowd,Match Report,
1,Sun,2012-08-19,,Wigan Athletic,0–2,Chelsea,,,Mike Jones,Match Report,
1,Sun,2012-08-19,,Manchester City,3–2,Southampton,,,Howard Webb,Match Report,
1,Mon,2012-08-20,,Everton,1–0,Manchester Utd,,,Andre Marriner,Match Report,
,,,,,,,,,,,
3,Wed,2012-08-22,,Chelsea,4–2,Reading,,,Lee Mason,Match Report,
,,,,,,,,,,,
2,Sat,2012-08-25,,Chelsea,2–0,Newcastle Utd,,,Phil Dowd,Match Report,
2,Sat,2012-08-25,,Manchester Utd,3–2,Fulham,,,Kevin Friend,Match Report,
2,Sat,2012-08-25,,Tottenham,1–1,West Brom,,,Mike Dean,Match Report,
2,Sat,2012-08-25,,Norwich City,1–1,QPR,,,Mark Clattenburg,Match Report,
2,Sat,2012-08-25,,Southampton,0–2,Wigan Athletic,,,Anthony Taylor,Match Report,
2,Sat,2012-08-25,,Swansea City,3–0,West Ham,,,Martin Atkinson,Match Report,
2,Sat,2012-08-25,,Aston Villa,1–3,Everton,,,Michael Oliver,Match Report,
2,Sun,2012-08-26,,Stoke City,0–0,Arsenal,,,Lee Mason,Match Report,
2,Sun,2012-08-26,,Liverpool,2–2,Manchester City,,,Andre Marriner,Match Report,
,,,,,,,,,,,
3,Sat,2012-09-01,,Swansea City,2–2,Sunderland,,,Roger East,Match Report,
3,Sat,2012-09-01,,Manchester City,3–1,QPR,,,Chris Foy,Match Report,
3,Sat,2012-09-01,,West Ham,3–0,Fulham,,,Anthony Taylor,Match Report,
3,Sat,2012-09-01,,Wigan Athletic,2–2,Stoke City,,,Martin Atkinson,Match Report,
3,Sat,2012-09-01,,Tottenham,1–1,Norwich City,,,Mark Halsey,Match Report,
3,Sat,2012-09-01,,West Brom,2–0,Everton,,,Jon Moss,Match Report,
3,Sun,2012-09-02,,Liverpool,0–2,Arsenal,,,Howard Webb,Match Report,
3,Sun,2012-09-02,,Southampton,2–3,Manchester Utd,,,Mike Dean,Match Report,
3,Sun,2012-09-02,,Newcastle Utd,1–1,Aston Villa,,,Lee Probert,Match Report,
,,,,,,,,,,,
4,Sat,2012-09-15,,Aston Villa,2–0,Swansea City,,,Lee Mason,Match Report,
4,Sat,2012-09-15,,Norwich City,0–0,West Ham,,,Chris Foy,Match Report,
4,Sat,2012-09-15,,Fulham,3–0,West Brom,,,Roger East,Match Report,
4,Sat,2012-09-15,,Sunderland,1–1,Liverpool,,,Martin Atkinson,Match Report,
4,Sat,2012-09-15,,Arsenal,6–1,Southampton,,,Kevin Friend,Match Report,
4,Sat,2012-09-15,,Stoke City,1–1,Manchester City,,,Mark Clattenburg,Match Report,
4,Sat,2012-09-15,,QPR,0–0,Chelsea,,,Andre Marriner,Match Report,
4,Sat,2012-09-15,,Manchester Utd,4–0,Wigan Athletic,,,Michael Oliver,Match Report,
4,Sun,2012-09-16,,Reading,1–3,Tottenham,,,Howard Webb,Match Report,
4,Mon,2012-09-17,,Everton,2–2,Newcastle Utd,,,Mike Jones,Match Report,
,,,,,,,,,,,
5,Sat,2012-09-22,,Chelsea,1–0,Stoke City,,,Michael Oliver,Match Report,
5,Sat,2012-09-22,,West Brom,1–0,Reading,,,Chris Foy,Match Report,
5,Sat,2012-09-22,,West Ham,1–1,Sunderland,,,Lee Mason,Match Report,
5,Sat,2012-09-22,,Swansea City,0–3,Everton,,,Anthony Taylor,Match Report,
5,Sat,2012-09-22,,Wigan Athletic,1–2,Fulham,,,Lee Probert,Match Report,
5,Sat,2012-09-22,,Southampton,4–1,Aston Villa,,,Jon Moss,Match Report,
5,Sun,2012-09-23,,Tottenham,2–1,QPR,,,Phil Dowd,Match Report,
5,Sun,2012-09-23,,Newcastle Utd,1–0,Norwich City,,,Neil Swarbrick,Match Report,
5,Sun,2012-09-23,,Manchester City,1–1,Arsenal,,,Mike Dean,Match Report,
5,Sun,2012-09-23,,Liverpool,1–2,Manchester Utd,,,Mark Halsey,Match Report,
,,,,,,,,,,,
6,Sat,2012-09-29,,Everton,3–1,Southampton,,,Lee Probert,Match Report,
6,Sat,2012-09-29,,Arsenal,1–2,Chelsea,,,Martin Atkinson,Match Report,
6,Sat,2012-09-29,,Fulham,1–2,Manchester City,,,Mark Halsey,Match Report,
6,Sat,2012-09-29,,Sunderland,1–0,Wigan Athletic,,,Howard Webb,Match Report,
6,Sat,2012-09-29,,Norwich City,2–5,Liverpool,,,Mike Jones,Match Report,
6,Sat,2012-09-29,,Reading,2–2,Newcastle Utd,,,Andre Marriner,Match Report,
6,Sat,2012-09-29,,Stoke City,2–0,Swansea City,,,Jon Moss,Match Report,
6,Sat,2012-09-29,,Manchester Utd,2–3,Tottenham,,,Chris Foy,Match Report,
6,Sun,2012-09-30,,Aston Villa,1–1,West Brom,,,Anthony Taylor,Match Report,
