Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
6,Mon,2012-10-01,,QPR,1–2,West Ham,,,Mark Clattenburg,Match Report,
,,,,,,,,,,,
7,Sat,2012-10-06,,West Ham,1–3,Arsenal,,,Phil Dowd,Match Report,
7,Sat,2012-10-06,,Manchester City,3–0,Sunderland,,,Lee Probert,Match Report,
7,Sat,2012-10-06,,West Brom,3–2,QPR,,,Mike Jones,Match Report,
7,Sat,2012-10-06,,Swansea City,2–2,Reading,,,Mike Dean,Match Report,
7,Sat,2012-10-06,,Chelsea,4–1,Norwich City,,,Anthony Taylor,Match Report,
7,Sat,2012-10-06,,Wigan Athletic,2–2,Everton,,,Kevin Friend,Match Report,
7,Sun,2012-10-07,,Tottenham,2–0,Aston Villa,,,Neil Swarbrick,Match Report,
7,Sun,2012-10-07,,Newcastle Utd,0–3,Manchester Utd,,,Howard Webb,Match Report,
7,Sun,2012-10-07,,Southampton,2–2,Fulham,,,Mark Clattenburg,Match Report,
7,Sun,2012-10-07,,Liverpool,0–0,Stoke City,,,Lee Mason,Match Report,
,,,,,,,,,,,
8,Sat,2012-10-20,,West Brom,1–2,Manchester City,,,Mark Clattenburg,Match Report,
8,Sat,2012-10-20,,Manchester Utd,4–2,Stoke City,,,Anthony Taylor,Match Report,
8,Sat,2012-10-20,,Liverpool,1–0,Reading,,,Roger East,Match Report,
8,Sat,2012-10-20,,Swansea City,2–1,Wigan Athletic,,,Mike Jones,Match Report,
8,Sat,2012-10-20,,Tottenham,2–4,Chelsea,,,Mike Dean,Match Report,
8,Sat,2012-10-20,,Norwich City,1–0,Arsenal,,,Lee Probert,Match Report,
8,Sat,2012-10-20,,Fulham,1–0,Aston Villa,,,Chris Foy,Match Report,
8,Sat,2012-10-20,,West Ham,4–1,Southampton,,,Neil Swarbrick,Match Report,
8,Sun,2012-10-21,,Sunderland,1–1,Newcastle Utd,,,Martin Atkinson,Match Report,
8,Sun,2012-10-21,,QPR,1–1,Everton,,,Jon Moss,Match Report,
,,,,,,,,,,,
9,Sat,2012-10-27,,Wigan Athletic,2–1,West Ham,,,Jon Moss,Match Report,
9,Sat,2012-10-27,,Stoke City,0–0,Sunderland,,,Mark Halsey,Match Report,
9,Sat,2012-10-27,,Arsenal,1–0,QPR,,,Anthony Taylor,Match Report,
9,Sat,2012-10-27,,Reading,3–3,Fulham,,,Mike Jones,Match Report,
9,Sat,2012-10-27,,Manchester City,1–0,Swansea City,,,Martin Atkinson,Match Report,
9,Sat,2012-10-27,,Aston Villa,1–1,Norwich City,,,Phil Dowd,Match Report,
9,Sun,2012-10-28,,Chelsea,2–3,Manchester Utd,,,Mark Clattenburg,Match Report,
9,Sun,2012-10-28,,Southampton,1–2,Tottenham,,,Lee Mason,Match Report,
9,Sun,2012-10-28,,Everton,2–2,Liverpool,,,Andre Marriner,Match Report,
9,Sun,2012-10-28,,Newcastle Utd,2–1,West Brom,,,Chris Foy,Match Report,
,,,,,,,,,,,
10,Sat,2012-11-03,,Norwich City,1–0,Stoke City,,,Andre Marriner,Match Report,
10,Sat,2012-11-03,,Swansea City,1–1,Chelsea,,,Kevin Friend,Match Report,
10,Sat,2012-11-03,,Fulham,2–2,Everton,,,Neil Swarbrick,Match Report,
10,Sat,2012-11-03,,Manchester Utd,2–1,Arsenal,,,Mike Dean,Match Report,
10,Sat,2012-11-03,,West Ham,0–0,Manchester City,,,Howard Webb,Match Report,
10,Sat,2012-11-03,,Tottenham,0–1,Wigan Athletic,,,Martin Atkinson,Match Report,
10,Sat,2012-11-03,,Sunderland,0–1,Aston Villa,,,Mike Jones,Match Report,
10,Sun,2012-11-04,,Liverpool,1–1,Newcastle Utd,,,Anthony Taylor,Match Report,
10,Sun,2012-11-04,,QPR,1–1,Reading,,,Michael Oliver,Match Report,
10,Mon,2012-11-05,,West Brom,2–0,Southampton,,,Mark Halsey,Match Report,
,,,,,,,,,,,
11,Sat,2012-11-10,,Aston Villa,2–3,Manchester Utd,,,Kevin Friend,Match Report,
11,Sat,2012-11-10,,Stoke City,1–0,QPR,,,Martin Atkinson,Match Report,
11,Sat,2012-11-10,,Arsenal,3–3,Fulham,,,Phil Dowd,Match Report,
11,Sat,2012-11-10,,Everton,2–1,Sunderland,,,Lee Mason,Match Report,
11,Sat,2012-11-10,,Wigan Athletic,1–2,West Brom,,,Neil Swarbrick,Match Report,
11,Sat,2012-11-10,,Reading,0–0,Norwich City,,,Chris Foy,Match Report,
11,Sat,2012-11-10,,Southampton,1–1,Swansea City,,,Andre Marriner,Match Report,
11,Sun,2012-11-11,,Newcastle Utd,0–1,West Ham,,,Mike Dean,Match Report,
11,Sun,2012-11-11,,Chelsea,1–1,Liverpool,,,Howard Webb,Match Report,
11,Sun,2012-11-11,,Manchester City,2–1,Tottenham,,,Michael Oliver,Match Report,
,,,,,,,,,,,
12,Sat,2012-11-17,,QPR,1–3,Southampton,,,Mike Dean,Match Report,
12,Sat,2012-11-17,,Reading,2–1,Everton,,,Martin Atkinson,Match Report,
12,Sat,2012-11-17,,Manchester City,5–0,Aston Villa,,,Jon Moss,Match Report,
12,Sat,2012-11-17,,Newcastle Utd,1–2,Swansea City,,,Phil Dowd,Match Report,
12,Sat,2012-11-17,,Arsenal,5–2,Tottenham,,,Howard Webb,Match Report,
12,Sat,2012-11-17,,West Brom,2–1,Chelsea,,,Michael Oliver,Match Report,
12,Sat,2012-11-17,,Liverpool,3–0,Wigan Athletic,,,Kevin Friend,Match Report,
12,Sat,2012-11-17,,Norwich City,1–0,Manchester Utd,,,Anthony Taylor,Match Report,
12,Sun,2012-11-18,,Fulham,1–3,Sunderland,,,Lee Probert,Match Report,
12,Mon,2012-11-19,,West Ham,1–1,Stoke City,,,Chris Foy,Match Report,
,,,,,,,,,,,
13,Sat,2012-11-24,,Everton,1–1,Norwich City,,,Mike Jones,Match Report,
13,Sat,2012-11-24,,Sunderland,2–4,West Brom,,,Mike Dean,Match Report,
13,Sat,2012-11-24,,Wigan Athletic,3–2,Reading,,,Howard Webb,Match Report,
13,Sat,2012-11-24,,Aston Villa,0–0,Arsenal,,,Lee Mason,Match Report,
13,Sat,2012-11-24,,Manchester Utd,3–1,QPR,,,Lee Probert,Match Report,
13,Sat,2012-11-24,,Stoke City,1–0,Fulham,,,Michael Oliver,Match Report,
13,Sun,2012-11-25,,Tottenham,3–1,West Ham,,,Andre Marriner,Match Report,
13,Sun,2012-11-25,,Southampton,2–0,Newcastle Utd,,,Martin Atkinson,Match Report,
13,Sun,2012-11-25,,Chelsea,0–0,Manchester City,,,Chris Foy,Match Report,
13,Sun,2012-11-25,,Swansea City,0–0,Liverpool,,,Jon Moss,Match Report,
,,,,,,,,,,,
14,Tue,2012-11-27,,Aston Villa,1–0,Reading,,,Lee Probert,Match Report,
14,Tue,2012-11-27,,Sunderland,0–0,QPR,,,Andre Marriner,Match Report,
14,Wed,2012-11-28,,Tottenham,2–1,Liverpool,,,Phil Dowd,Match Report,
14,Wed,2012-11-28,,Wigan Athletic,0–2,Manchester City,,,Mark Halsey,Match Report,
14,Wed,2012-11-28,,Stoke City,2–1,Newcastle Utd,,,Howard Webb,Match Report,
14,Wed,2012-11-28,,Everton,1–1,Arsenal,,,Michael Oliver,Match Report,
14,Wed,2012-11-28,,Swansea City,3–1,West Brom,,,Lee Mason,Match Report,
14,Wed,2012-11-28,,Southampton,1–1,Norwich City,,,Mark Clattenburg,Match Report,
14,Wed,2012-11-28,,Manchester Utd,1–0,West Ham,,,Mike Jones,Match Report,
14,Wed,2012-11-28,,Chelsea,0–0,Fulham,,,Anthony Taylor,Match Report,
,,,,,,,,,,,
15,Sat,2012-12-01,,Liverpool,1–0,Southampton,,,Michael Oliver,Match Report,
15,Sat,2012-12-01,,Arsenal,0–2,Swansea City,,,Mark Clattenburg,Match Report,
15,Sat,2012-12-01,,West Brom,0–1,Stoke City,,,Kevin Friend,Match Report,
15,Sat,2012-12-01,,West Ham,3–1,Chelsea,,,Martin Atkinson,Match Report,
15,Sat,2012-12-01,,QPR,1–1,Aston Villa,,,Howard Webb,Match Report,
15,Sat,2012-12-01,,Reading,3–4,Manchester Utd,,,Mark Halsey,Match Report,
15,Sat,2012-12-01,,Manchester City,1–1,Everton,,,Lee Probert,Match Report,
15,Sat,2012-12-01,,Fulham,0–3,Tottenham,,,Chris Foy,Match Report,
15,Sun,2012-12-02,,Norwich City,2–1,Sunderland,,,Phil Dowd,Match Report,
15,Mon,2012-12-03,,Newcastle Utd,3–0,Wigan Athletic,,,Mike Jones,Match Report,
,,,,,,,,,,,
16,Sat,2012-12-08,,Aston Villa,0–0,Stoke City,,,Roger East,Match Report,
16,Sat,2012-12-08,,Southampton,1–0,Reading,,,Jon Moss,Match Report,
16,Sat,2012-12-08,,Swansea City,3–4,Norwich City,,,Howard Webb,Match Report,
16,Sat,2012-12-08,,Wigan Athletic,2–2,QPR,,,Phil Dowd,Match Report,
16,Sat,2012-12-08,,Sunderland,1–3,Chelsea,,,Mark Halsey,Match Report,
16,Sat,2012-12-08,,Arsenal,2–0,West Brom,,,Mike Jones,Match Report,
16,Sun,2012-12-09,,Manchester City,2–3,Manchester Utd,,,Martin Atkinson,Match Report,
16,Sun,2012-12-09,,West Ham,2–3,Liverpool,,,Lee Probert,Match Report,
16,Sun,2012-12-09,,Everton,2–1,Tottenham,,,Lee Mason,Match Report,
16,Mon,2012-12-10,,Fulham,2–1,Newcastle Utd,,,Lee Mason,Match Report,
,,,,,,,,,,,
2,Tue,2012-12-11,,Sunderland,3–0,Reading,,,Neil Swarbrick,Match Report,
,,,,,,,,,,,
17,Sat,2012-12-15,,Stoke City,1–1,Everton,,,Mark Halsey,Match Report,
17,Sat,2012-12-15,,Manchester Utd,3–1,Sunderland,,,Chris Foy,Match Report,
17,Sat,2012-12-15,,Norwich City,2–1,Wigan Athletic,,,Lee Probert,Match Report,
17,Sat,2012-12-15,,Newcastle Utd,1–3,Manchester City,,,Andre Marriner,Match Report,
17,Sat,2012-12-15,,Liverpool,1–3,Aston Villa,,,Neil Swarbrick,Match Report,
17,Sat,2012-12-15,,QPR,2–1,Fulham,,,Martin Atkinson,Match Report,
17,Sun,2012-12-16,,Tottenham,1–0,Swansea City,,,Mike Dean,Match Report,
17,Sun,2012-12-16,,West Brom,0–0,West Ham,,,Phil Dowd,Match Report,
17,Mon,2012-12-17,,Reading,2–5,Arsenal,,,Anthony Taylor,Match Report,
,,,,,,,,,,,
18,Sat,2012-12-22,,Wigan Athletic,0–1,Arsenal,,,Jon Moss,Match Report,
18,Sat,2012-12-22,,West Ham,1–2,Everton,,,Anthony Taylor,Match Report,
18,Sat,2012-12-22,,West Brom,2–1,Norwich City,,,Martin Atkinson,Match Report,
18,Sat,2012-12-22,,Southampton,0–1,Sunderland,,,Howard Webb,Match Report,
18,Sat,2012-12-22,,Newcastle Utd,1–0,QPR,,,Kevin Friend,Match Report,
18,Sat,2012-12-22,,Liverpool,4–0,Fulham,,,Mark Clattenburg,Match Report,
18,Sat,2012-12-22,,Manchester City,1–0,Reading,,,Mike Dean,Match Report,
18,Sat,2012-12-22,,Tottenham,0–0,Stoke City,,,Lee Mason,Match Report,
18,Sun,2012-12-23,,Swansea City,1–1,Manchester Utd,,,Michael Oliver,Match Report,
18,Sun,2012-12-23,,Chelsea,8–0,Aston Villa,,,Phil Dowd,Match Report,
,,,,,,,,,,,
19,Wed,2012-12-26,,QPR,1–2,West Brom,,,Chris Foy,Match Report,
19,Wed,2012-12-26,,Sunderland,1–0,Manchester City,,,Kevin Friend,Match Report,
19,Wed,2012-12-26,,Reading,0–0,Swansea City,,,Mike Jones,Match Report,
19,Wed,2012-12-26,,Manchester Utd,4–3,Newcastle Utd,,,Mike Dean,Match Report,
19,Wed,2012-12-26,,Aston Villa,0–4,Tottenham,,,Mark Clattenburg,Match Report,
19,Wed,2012-12-26,,Norwich City,0–1,Chelsea,,,Jon Moss,Match Report,
19,Wed,2012-12-26,,Everton,2–1,Wigan Athletic,,,Lee Mason,Match Report,
19,Wed,2012-12-26,,Stoke City,3–1,Liverpool,,,Howard Webb,Match Report,
19,Wed,2012-12-26,,Fulham,1–1,Southampton,,,Phil Dowd,Match Report,
,,,,,,,,,,,
20,Sat,2012-12-29,,Stoke City,3–3,Southampton,,,Mark Clattenburg,Match Report,
20,Sat,2012-12-29,,Aston Villa,0–3,Wigan Athletic,,,Kevin Friend,Match Report,
20,Sat,2012-12-29,,Reading,1–0,West Ham,,,Michael Oliver,Match Report,
20,Sat,2012-12-29,,Fulham,1–2,Swansea City,,,Andre Marriner,Match Report,
20,Sat,2012-12-29,,Manchester Utd,2–0,West Brom,,,Jon Moss,Match Report,
20,Sat,2012-12-29,,Norwich City,3–4,Manchester City,,,Mike Jones,Match Report,
20,Sat,2012-12-29,,Arsenal,7–3,Newcastle Utd,,,Chris Foy,Match Report,
20,Sat,2012-12-29,,Sunderland,1–2,Tottenham,,,Martin Atkinson,Match Report,
20,Sun,2012-12-30,,QPR,0–3,Liverpool,,,Anthony Taylor,Match Report,
20,Sun,2012-12-30,,Everton,1–2,Chelsea,,,Howard Webb,Match Report,
,,,,,,,,,,,
21,Tue,2013-01-01,,West Ham,2–1,Norwich City,,,Mark Clattenburg,Match Report,
21,Tue,2013-01-01,,Manchester City,3–0,Stoke City,,,Michael Oliver,Match Report,
21,Tue,2013-01-01,,Wigan Athletic,0–4,Manchester Utd,,,Andre Marriner,Match Report,
21,Tue,2013-01-01,,Tottenham,3–1,Reading,,,Howard Webb,Match Report,
21,Tue,2013-01-01,,Swansea City,2–2,Aston Villa,,,Mark Halsey,Match Report,
21,Tue,2013-01-01,,Southampton,1–1,Arsenal,,,Lee Probert,Match Report,
21,Tue,2013-01-01,,West Brom,1–2,Fulham,,,Mike Dean,Match Report,
21,Wed,2013-01-02,,Chelsea,0–1,QPR,,,Lee Mason,Match Report,
21,Wed,2013-01-02,,Newcastle Utd,1–2,Everton,,,Martin Atkinson,Match Report,
21,Wed,2013-01-02,,Liverpool,3–0,Sunderland,,,Phil Dowd,Match Report,
,,,,,,,,,,,
22,Sat,2013-01-12,,Everton,0–0,Swansea City,,,Phil Dowd,Match Report,
22,Sat,2013-01-12,,Fulham,1–1,Wigan Athletic,,,Mark Clattenburg,Match Report,
22,Sat,2013-01-12,,Stoke City,0–4,Chelsea,,,Andre Marriner,Match Report,
22,Sat,2013-01-12,,QPR,0–0,Tottenham,,,Lee Probert,Match Report,
22,Sat,2013-01-12,,Sunderland,3–0,West Ham,,,Neil Swarbrick,Match Report,
22,Sat,2013-01-12,,Aston Villa,0–1,Southampton,,,Mark Halsey,Match Report,
22,Sat,2013-01-12,,Reading,3–2,West Brom,,,Kevin Friend,Match Report,
22,Sat,2013-01-12,,Norwich City,0–0,Newcastle Utd,,,Anthony Taylor,Match Report,
22,Sun,2013-01-13,,Manchester Utd,2–1,Liverpool,,,Howard Webb,Match Report,
22,Sun,2013-01-13,,Arsenal,0–2,Manchester City,,,Mike Dean,Match Report,
,,,,,,,,,,,
17,Wed,2013-01-16,,Chelsea,2–2,Southampton,,,Michael Oliver,Match Report,
,,,,,,,,,,,
23,Sat,2013-01-19,,Liverpool,5–0,Norwich City,,,Michael Oliver,Match Report,
23,Sat,2013-01-19,,Wigan Athletic,2–3,Sunderland,,,Anthony Taylor,Match Report,
23,Sat,2013-01-19,,Manchester City,2–0,Fulham,,,Jon Moss,Match Report,
23,Sat,2013-01-19,,West Brom,2–2,Aston Villa,,,Lee Probert,Match Report,
23,Sat,2013-01-19,,Newcastle Utd,1–2,Reading,,,Andre Marriner,Match Report,
23,Sat,2013-01-19,,Swansea City,3–1,Stoke City,,,Mike Dean,Match Report,
23,Sat,2013-01-19,,West Ham,1–1,QPR,,,Howard Webb,Match Report,
23,Sun,2013-01-20,,Tottenham,1–1,Manchester Utd,,,Chris Foy,Match Report,
23,Sun,2013-01-20,,Chelsea,2–1,Arsenal,,,Martin Atkinson,Match Report,
23,Mon,2013-01-21,,Southampton,0–0,Everton,,,Neil Swarbrick,Match Report,
,,,,,,,,,,,
19,Wed,2013-01-23,,Arsenal,5–1,West Ham,,,Andre Marriner,Match Report,
,,,,,,,,,,,
24,Tue,2013-01-29,,QPR,0–0,Manchester City,,,Phil Dowd,Match Report,
24,Tue,2013-01-29,,Aston Villa,1–2,Newcastle Utd,,,Mike Dean,Match Report,
24,Tue,2013-01-29,,Sunderland,0–0,Swansea City,,,Andre Marriner,Match Report,
24,Tue,2013-01-29,,Stoke City,2–2,Wigan Athletic,,,Mike Jones,Match Report,
24,Wed,2013-01-30,,Arsenal,2–2,Liverpool,,,Kevin Friend,Match Report,
24,Wed,2013-01-30,,Fulham,3–1,West Ham,,,Chris Foy,Match Report,
24,Wed,2013-01-30,,Reading,2–2,Chelsea,,,Mark Halsey,Match Report,
24,Wed,2013-01-30,,Norwich City,1–1,Tottenham,,,Neil Swarbrick,Match Report,
24,Wed,2013-01-30,,Everton,2–1,West Brom,,,Michael Oliver,Match Report,
24,Wed,2013-01-30,,Manchester Utd,2–1,Southampton,,,Lee Mason,Match Report,
,,,,,,,,,,,
25,Sat,2013-02-02,,West Ham,1–0,Swansea City,,,Lee Probert,Match Report,
25,Sat,2013-02-02,,Fulham,0–1,Manchester Utd,,,Kevin Friend,Match Report,
25,Sat,2013-02-02,,QPR,0–0,Norwich City,,,Jon Moss,Match Report,
25,Sat,2013-02-02,,Reading,2–1,Sunderland,,,Lee Mason,Match Report,
25,Sat,2013-02-02,,Everton,3–3,Aston Villa,,,Mike Jones,Match Report,
25,Sat,2013-02-02,,Newcastle Utd,3–2,Chelsea,,,Howard Webb,Match Report,
25,Sat,2013-02-02,,Wigan Athletic,2–2,Southampton,,,Andre Marriner,Match Report,
25,Sat,2013-02-02,,Arsenal,1–0,Stoke City,,,Chris Foy,Match Report,
25,Sun,2013-02-03,,West Brom,0–1,Tottenham,,,Mark Clattenburg,Match Report,
25,Sun,2013-02-03,,Manchester City,2–2,Liverpool,,,Anthony Taylor,Match Report,
,,,,,,,,,,,
26,Sat,2013-02-09,,Stoke City,2–1,Reading,,,Michael Oliver,Match Report,
26,Sat,2013-02-09,,Chelsea,4–1,Wigan Athletic,,,Mike Dean,Match Report,
26,Sat,2013-02-09,,Sunderland,0–1,Arsenal,,,Anthony Taylor,Match Report,
26,Sat,2013-02-09,,Southampton,3–1,Manchester City,,,Martin Atkinson,Match Report,
26,Sat,2013-02-09,,Tottenham,2–1,Newcastle Utd,,,Phil Dowd,Match Report,
26,Sat,2013-02-09,,Swansea City,4–1,QPR,,,Neil Swarbrick,Match Report,
26,Sat,2013-02-09,,Norwich City,0–0,Fulham,,,Howard Webb,Match Report,
26,Sun,2013-02-10,,Manchester Utd,2–0,Everton,,,Mark Halsey,Match Report,
26,Sun,2013-02-10,,Aston Villa,2–1,West Ham,,,Mark Clattenburg,Match Report,
26,Mon,2013-02-11,,Liverpool,0–2,West Brom,,,Jon Moss,Match Report,
,,,,,,,,,,,
27,Sun,2013-02-17,,Liverpool,5–0,Swansea City,,,Howard Webb,Match Report,
27,Sat,2013-02-23,,Reading,0–3,Wigan Athletic,,,Phil Dowd,Match Report,
27,Sat,2013-02-23,,Arsenal,2–1,Aston Villa,,,Martin Atkinson,Match Report,
27,Sat,2013-02-23,,Norwich City,2–1,Everton,,,Lee Mason,Match Report,
27,Sat,2013-02-23,,QPR,0–2,Manchester Utd,,,Anthony Taylor,Match Report,
27,Sat,2013-02-23,,West Brom,2–1,Sunderland,,,Roger East,Match Report,
27,Sat,2013-02-23,,Fulham,1–0,Stoke City,,,Lee Probert,Match Report,
27,Sun,2013-02-24,,Newcastle Utd,4–2,Southampton,,,Chris Foy,Match Report,
27,Sun,2013-02-24,,Manchester City,2–0,Chelsea,,,Andre Marriner,Match Report,
27,Mon,2013-02-25,,West Ham,2–3,Tottenham,,,Howard Webb,Match Report,
,,,,,,,,,,,
28,Sat,2013-03-02,,Stoke City,0–1,West Ham,,,Jon Moss,Match Report,
28,Sat,2013-03-02,,Swansea City,1–0,Newcastle Utd,,,Craig Pawson,Match Report,
28,Sat,2013-03-02,,Southampton,1–2,QPR,,,Howard Webb,Match Report,
28,Sat,2013-03-02,,Chelsea,1–0,West Brom,,,Kevin Friend,Match Report,
28,Sat,2013-03-02,,Manchester Utd,4–0,Norwich City,,,Neil Swarbrick,Match Report,
28,Sat,2013-03-02,,Sunderland,2–2,Fulham,,,Mark Halsey,Match Report,
28,Sat,2013-03-02,,Everton,3–1,Reading,,,Anthony Taylor,Match Report,
28,Sat,2013-03-02,,Wigan Athletic,0–4,Liverpool,,,Martin Atkinson,Match Report,
28,Sun,2013-03-03,,Tottenham,2–1,Arsenal,,,Mark Clattenburg,Match Report,
28,Mon,2013-03-04,,Aston Villa,0–1,Manchester City,,,Mike Dean,Match Report,
,,,,,,,,,,,
29,Sat,2013-03-09,,Reading,1–2,Aston Villa,,,Jon Moss,Match Report,
29,Sat,2013-03-09,,West Brom,2–1,Swansea City,,,Lee Mason,Match Report,
29,Sat,2013-03-09,,Norwich City,0–0,Southampton,,,Mark Clattenburg,Match Report,
29,Sat,2013-03-09,,QPR,3–1,Sunderland,,,Mike Jones,Match Report,
29,Sun,2013-03-10,,Liverpool,3–2,Tottenham,,,Michael Oliver,Match Report,
29,Sun,2013-03-10,,Newcastle Utd,2–1,Stoke City,,,Andre Marriner,Match Report,
,,,,,,,,,,,
30,Sat,2013-03-16,,Manchester Utd,1–0,Reading,,,Lee Mason,Match Report,
30,Sat,2013-03-16,,Stoke City,0–0,West Brom,,,Mike Dean,Match Report,
30,Sat,2013-03-16,,Southampton,3–1,Liverpool,,,Phil Dowd,Match Report,
30,Sat,2013-03-16,,Everton,2–0,Manchester City,,,Lee Probert,Match Report,
30,Sat,2013-03-16,,Aston Villa,3–2,QPR,,,Kevin Friend,Match Report,
30,Sat,2013-03-16,,Swansea City,0–2,Arsenal,,,Jon Moss,Match Report,
30,Sun,2013-03-17,,Sunderland,1–1,Norwich City,,,Chris Foy,Match Report,
30,Sun,2013-03-17,,Tottenham,0–1,Fulham,,,Mike Jones,Match Report,
30,Sun,2013-03-17,,Chelsea,2–0,West Ham,,,Michael Oliver,Match Report,
