Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
1,Sat,2013-08-17,,West Ham,2–0,Cardiff City,,UPTON PARK,Howard Webb,Match Report,
1,Sat,2013-08-17,,Swansea City,1–4,Manchester Utd,,,Phil Dowd,Match Report,
1,Sat,2013-08-17,,Norwich City,2–2,Everton,,CARROW ROAD,Michael Oliver,Match Report,
1,Sat,2013-08-17,,Arsenal,1–3,Aston Villa,,EMIRATES STADIUM,Anthony Taylor,Match Report,
1,Sat,2013-08-17,,Liverpool,1–0,Stoke City,,ANFIELD ROAD,Martin Atkinson,Match Report,
1,Sat,2013-08-17,,West Brom,0–1,Southampton,,THE HAWTHORNS,Kevin Friend,Match Report,
1,Sat,2013-08-17,,Sunderland,0–1,Fulham,,STADIUM OF LIGHT,Neil Swarbrick,Match Report,
1,Sun,2013-08-18,,Chelsea,2–0,Hull City,,STAMFORD BRIDGE,Jon Moss,Match Report,
1,Sun,2013-08-18,,Crystal Palace,0–1,Tottenham,,SELHURST PARK,Mark Clattenburg,Match Report,
1,Mon,2013-08-19,,Manchester City,4–0,Newcastle Utd,,CITY OF MANCHESTER,Andre Marriner,Match Report,
,,,,,,,,,,,
3,Wed,2013-08-21,,Chelsea,2–1,Aston Villa,,STAMFORD BRIDGE,Kevin Friend,Match Report,
,,,,,,,,,,,
2,Sat,2013-08-24,,Newcastle Utd,0–0,West Ham,,ST JAMES PARK,Phil Dowd,Match Report,
2,Sat,2013-08-24,,Aston Villa,0–1,Liverpool,,VILLA PARK,Mark Clattenburg,Match Report,
2,Sat,2013-08-24,,Everton,0–0,West Brom,,GOODISON PARK,Roger East,Match Report,
2,Sat,2013-08-24,,Hull City,1–0,Norwich City,,KINGSTON COMMUNICATI,Mike Jones,Match Report,
2,Sat,2013-08-24,,Southampton,1–1,Sunderland,,SAINT MARY´S,Lee Mason,Match Report,
2,Sat,2013-08-24,,Fulham,1–3,Arsenal,,CRAVEN COTTAGE,Howard Webb,Match Report,
2,Sat,2013-08-24,,Stoke City,2–1,Crystal Palace,,BRITANNIA STADIUM,Andre Marriner,Match Report,
2,Sun,2013-08-25,,Cardiff City,3–2,Manchester City,,NINIAN PARK,Lee Probert,Match Report,
2,Sun,2013-08-25,,Tottenham,1–0,Swansea City,,WHITE HART LANE,Neil Swarbrick,Match Report,
2,Mon,2013-08-26,,Manchester Utd,0–0,Chelsea,,OLD TRAFFORD,Martin Atkinson,Match Report,
,,,,,,,,,,,
3,Sat,2013-08-31,,West Ham,0–1,Stoke City,,UPTON PARK,Jon Moss,Match Report,
3,Sat,2013-08-31,,Manchester City,2–0,Hull City,,CITY OF MANCHESTER,Phil Dowd,Match Report,
3,Sat,2013-08-31,,Newcastle Utd,1–0,Fulham,,ST JAMES PARK,Chris Foy,Match Report,
3,Sat,2013-08-31,,Cardiff City,0–0,Everton,,NINIAN PARK,Anthony Taylor,Match Report,
3,Sat,2013-08-31,,Crystal Palace,3–1,Sunderland,,SELHURST PARK,Lee Probert,Match Report,
3,Sat,2013-08-31,,Norwich City,1–0,Southampton,,CARROW ROAD,Howard Webb,Match Report,
3,Sun,2013-09-01,,Liverpool,1–0,Manchester Utd,,ANFIELD ROAD,Andre Marriner,Match Report,
3,Sun,2013-09-01,,West Brom,0–2,Swansea City,,THE HAWTHORNS,Mike Dean,Match Report,
3,Sun,2013-09-01,,Arsenal,1–0,Tottenham,,EMIRATES STADIUM,Michael Oliver,Match Report,
,,,,,,,,,,,
4,Sat,2013-09-14,,Everton,1–0,Chelsea,,GOODISON PARK,Howard Webb,Match Report,
4,Sat,2013-09-14,,Manchester Utd,2–0,Crystal Palace,,OLD TRAFFORD,Jon Moss,Match Report,
4,Sat,2013-09-14,,Stoke City,0–0,Manchester City,,BRITANNIA STADIUM,Mark Clattenburg,Match Report,
4,Sat,2013-09-14,,Tottenham,2–0,Norwich City,,WHITE HART LANE,Lee Mason,Match Report,
4,Sat,2013-09-14,,Sunderland,1–3,Arsenal,,STADIUM OF LIGHT,Martin Atkinson,Match Report,
4,Sat,2013-09-14,,Fulham,1–1,West Brom,,CRAVEN COTTAGE,Lee Probert,Match Report,
4,Sat,2013-09-14,,Aston Villa,1–2,Newcastle Utd,,VILLA PARK,Mike Dean,Match Report,
4,Sat,2013-09-14,,Hull City,1–1,Cardiff City,,KINGSTON COMMUNICATI,Bobby Madley,Match Report,
4,Sun,2013-09-15,,Southampton,0–0,West Ham,,SAINT MARY´S,Andre Marriner,Match Report,
4,Mon,2013-09-16,,Swansea City,2–2,Liverpool,,,Michael Oliver,Match Report,
,,,,,,,,,,,
5,Sat,2013-09-21,,Newcastle Utd,2–3,Hull City,,ST JAMES PARK,Martin Atkinson,Match Report,
5,Sat,2013-09-21,,Norwich City,0–1,Aston Villa,,CARROW ROAD,Chris Foy,Match Report,
5,Sat,2013-09-21,,West Ham,2–3,Everton,,UPTON PARK,Lee Mason,Match Report,
5,Sat,2013-09-21,,West Brom,3–0,Sunderland,,THE HAWTHORNS,Phil Dowd,Match Report,
5,Sat,2013-09-21,,Chelsea,2–0,Fulham,,STAMFORD BRIDGE,Andre Marriner,Match Report,
5,Sat,2013-09-21,,Liverpool,0–1,Southampton,,ANFIELD ROAD,Neil Swarbrick,Match Report,
5,Sun,2013-09-22,,Arsenal,3–1,Stoke City,,EMIRATES STADIUM,Mike Dean,Match Report,
5,Sun,2013-09-22,,Manchester City,4–1,Manchester Utd,,CITY OF MANCHESTER,Howard Webb,Match Report,
5,Sun,2013-09-22,,Cardiff City,0–1,Tottenham,,NINIAN PARK,Mark Clattenburg,Match Report,
5,Sun,2013-09-22,,Crystal Palace,0–2,Swansea City,,SELHURST PARK,Kevin Friend,Match Report,
,,,,,,,,,,,
6,Sat,2013-09-28,,Swansea City,1–2,Arsenal,,,Mark Clattenburg,Match Report,
6,Sat,2013-09-28,,Manchester Utd,1–2,West Brom,,OLD TRAFFORD,Michael Oliver,Match Report,
6,Sat,2013-09-28,,Southampton,2–0,Crystal Palace,,SAINT MARY´S,Martin Atkinson,Match Report,
6,Sat,2013-09-28,,Fulham,1–2,Cardiff City,,CRAVEN COTTAGE,Craig Pawson,Match Report,
6,Sat,2013-09-28,,Tottenham,1–1,Chelsea,,WHITE HART LANE,Mike Dean,Match Report,
6,Sat,2013-09-28,,Aston Villa,3–2,Manchester City,,VILLA PARK,Mike Jones,Match Report,
6,Sat,2013-09-28,,Hull City,1–0,West Ham,,KINGSTON COMMUNICATI,Kevin Friend,Match Report,
6,Sun,2013-09-29,,Stoke City,0–1,Norwich City,,BRITANNIA STADIUM,Anthony Taylor,Match Report,
6,Sun,2013-09-29,,Sunderland,1–3,Liverpool,,STADIUM OF LIGHT,Howard Webb,Match Report,
6,Mon,2013-09-30,,Everton,3–2,Newcastle Utd,,GOODISON PARK,Phil Dowd,Match Report,
,,,,,,,,,,,
7,Sat,2013-10-05,,Sunderland,1–2,Manchester Utd,,STADIUM OF LIGHT,Chris Foy,Match Report,
7,Sat,2013-10-05,,Manchester City,3–1,Everton,,CITY OF MANCHESTER,Jon Moss,Match Report,
7,Sat,2013-10-05,,Liverpool,3–1,Crystal Palace,,ANFIELD ROAD,Anthony Taylor,Match Report,
7,Sat,2013-10-05,,Cardiff City,1–2,Newcastle Utd,,NINIAN PARK,Kevin Friend,Match Report,
7,Sat,2013-10-05,,Hull City,0–0,Aston Villa,,KINGSTON COMMUNICATI,Mark Clattenburg,Match Report,
7,Sat,2013-10-05,,Fulham,1–0,Stoke City,,CRAVEN COTTAGE,Roger East,Match Report,
7,Sun,2013-10-06,,Tottenham,0–3,West Ham,,WHITE HART LANE,Lee Probert,Match Report,
7,Sun,2013-10-06,,Norwich City,1–3,Chelsea,,CARROW ROAD,Neil Swarbrick,Match Report,
7,Sun,2013-10-06,,West Brom,1–1,Arsenal,,THE HAWTHORNS,Lee Mason,Match Report,
7,Sun,2013-10-06,,Southampton,2–0,Swansea City,,SAINT MARY´S,Mike Dean,Match Report,
,,,,,,,,,,,
8,Sat,2013-10-19,,Stoke City,0–0,West Brom,,BRITANNIA STADIUM,Howard Webb,Match Report,
8,Sat,2013-10-19,,West Ham,1–3,Manchester City,,UPTON PARK,Michael Oliver,Match Report,
8,Sat,2013-10-19,,Everton,2–1,Hull City,,GOODISON PARK,Neil Swarbrick,Match Report,
8,Sat,2013-10-19,,Arsenal,4–1,Norwich City,,EMIRATES STADIUM,Lee Probert,Match Report,
8,Sat,2013-10-19,,Chelsea,4–1,Cardiff City,,STAMFORD BRIDGE,Anthony Taylor,Match Report,
8,Sat,2013-10-19,,Manchester Utd,1–1,Southampton,,OLD TRAFFORD,Mike Jones,Match Report,
8,Sat,2013-10-19,,Swansea City,4–0,Sunderland,,,Craig Pawson,Match Report,
8,Sat,2013-10-19,,Newcastle Utd,2–2,Liverpool,,ST JAMES PARK,Andre Marriner,Match Report,
8,Sun,2013-10-20,,Aston Villa,0–2,Tottenham,,VILLA PARK,Phil Dowd,Match Report,
8,Mon,2013-10-21,,Crystal Palace,1–4,Fulham,,SELHURST PARK,Lee Mason,Match Report,
,,,,,,,,,,,
9,Sat,2013-10-26,,Crystal Palace,0–2,Arsenal,,SELHURST PARK,Chris Foy,Match Report,
9,Sat,2013-10-26,,Norwich City,0–0,Cardiff City,,CARROW ROAD,Mike Jones,Match Report,
9,Sat,2013-10-26,,Southampton,2–0,Fulham,,SAINT MARY´S,Andre Marriner,Match Report,
9,Sat,2013-10-26,,Aston Villa,0–2,Everton,,VILLA PARK,Anthony Taylor,Match Report,
9,Sat,2013-10-26,,Manchester Utd,3–2,Stoke City,,OLD TRAFFORD,Lee Mason,Match Report,
9,Sat,2013-10-26,,Liverpool,4–1,West Brom,,ANFIELD ROAD,Jon Moss,Match Report,
9,Sun,2013-10-27,,Tottenham,1–0,Hull City,,WHITE HART LANE,Michael Oliver,Match Report,
9,Sun,2013-10-27,,Sunderland,2–1,Newcastle Utd,,STADIUM OF LIGHT,Lee Probert,Match Report,
9,Sun,2013-10-27,,Swansea City,0–0,West Ham,,,Phil Dowd,Match Report,
9,Sun,2013-10-27,,Chelsea,2–1,Manchester City,,STAMFORD BRIDGE,Howard Webb,Match Report,
,,,,,,,,,,,
10,Sat,2013-11-02,,Stoke City,1–1,Southampton,,BRITANNIA STADIUM,Chris Foy,Match Report,
10,Sat,2013-11-02,,Arsenal,2–0,Liverpool,,EMIRATES STADIUM,Martin Atkinson,Match Report,
10,Sat,2013-11-02,,Fulham,1–3,Manchester Utd,,CRAVEN COTTAGE,Lee Probert,Match Report,
10,Sat,2013-11-02,,Hull City,1–0,Sunderland,,KINGSTON COMMUNICATI,Andre Marriner,Match Report,
10,Sat,2013-11-02,,West Ham,0–0,Aston Villa,,UPTON PARK,Howard Webb,Match Report,
10,Sat,2013-11-02,,Manchester City,7–0,Norwich City,,CITY OF MANCHESTER,Phil Dowd,Match Report,
10,Sat,2013-11-02,,Newcastle Utd,2–0,Chelsea,,ST JAMES PARK,Lee Mason,Match Report,
10,Sat,2013-11-02,,West Brom,2–0,Crystal Palace,,THE HAWTHORNS,Neil Swarbrick,Match Report,
10,Sun,2013-11-03,,Cardiff City,1–0,Swansea City,,NINIAN PARK,Mike Dean,Match Report,
10,Sun,2013-11-03,,Everton,0–0,Tottenham,,GOODISON PARK,Kevin Friend,Match Report,
,,,,,,,,,,,
11,Sat,2013-11-09,,Norwich City,3–1,West Ham,,CARROW ROAD,Jon Moss,Match Report,
11,Sat,2013-11-09,,Crystal Palace,0–0,Everton,,SELHURST PARK,Craig Pawson,Match Report,
11,Sat,2013-11-09,,Liverpool,4–0,Fulham,,ANFIELD ROAD,Mike Jones,Match Report,
11,Sat,2013-11-09,,Southampton,4–1,Hull City,,SAINT MARY´S,Phil Dowd,Match Report,
11,Sat,2013-11-09,,Chelsea,2–2,West Brom,,STAMFORD BRIDGE,Lee Probert,Match Report,
11,Sat,2013-11-09,,Aston Villa,2–0,Cardiff City,,VILLA PARK,Martin Atkinson,Match Report,
11,Sun,2013-11-10,,Manchester Utd,1–0,Arsenal,,OLD TRAFFORD,Michael Oliver,Match Report,
11,Sun,2013-11-10,,Sunderland,1–0,Manchester City,,STADIUM OF LIGHT,Mike Dean,Match Report,
11,Sun,2013-11-10,,Swansea City,3–3,Stoke City,,,Bobby Madley,Match Report,
11,Sun,2013-11-10,,Tottenham,0–1,Newcastle Utd,,WHITE HART LANE,Chris Foy,Match Report,
,,,,,,,,,,,
12,Sat,2013-11-23,,Arsenal,2–0,Southampton,,EMIRATES STADIUM,Mark Clattenburg,Match Report,
12,Sat,2013-11-23,,West Ham,0–3,Chelsea,,UPTON PARK,Chris Foy,Match Report,
12,Sat,2013-11-23,,Hull City,0–1,Crystal Palace,,KINGSTON COMMUNICATI,Anthony Taylor,Match Report,
12,Sat,2013-11-23,,Everton,3–3,Liverpool,,GOODISON PARK,Phil Dowd,Match Report,
12,Sat,2013-11-23,,Fulham,1–2,Swansea City,,CRAVEN COTTAGE,Andre Marriner,Match Report,
12,Sat,2013-11-23,,Newcastle Utd,2–1,Norwich City,,ST JAMES PARK,Mike Dean,Match Report,
12,Sat,2013-11-23,,Stoke City,2–0,Sunderland,,BRITANNIA STADIUM,Kevin Friend,Match Report,
12,Sun,2013-11-24,,Cardiff City,2–2,Manchester Utd,,NINIAN PARK,Neil Swarbrick,Match Report,
12,Sun,2013-11-24,,Manchester City,6–0,Tottenham,,CITY OF MANCHESTER,Howard Webb,Match Report,
12,Mon,2013-11-25,,West Brom,2–2,Aston Villa,,THE HAWTHORNS,Michael Oliver,Match Report,
,,,,,,,,,,,
13,Sat,2013-11-30,,Aston Villa,0–0,Sunderland,,VILLA PARK,Neil Swarbrick,Match Report,
13,Sat,2013-11-30,,Everton,4–0,Stoke City,,GOODISON PARK,Mike Jones,Match Report,
13,Sat,2013-11-30,,West Ham,3–0,Fulham,,UPTON PARK,Martin Atkinson,Match Report,
